source,translation
"Billed as {0}","Abgerechnet als {0}"
"exact — rounding skipped","exakt — Rundung übersprungen"
"Use exact","Genau abrechnen"
"Apply rounding","Rundung anwenden"
Exact,Exakt
Billed,Abgerechnet
"* Rounded up to nearest increment","* Aufgerundet auf nächstes Intervall"
billable,Abrechenbar
non-billable,Nicht abrechenbar
internal,Intern
on_save,Beim Speichern
manual,Manuell
scheduled,Geplant
hourly,Stündlich
every_6_hours,Alle 6 Stunden
daily,Täglich
stopped,Gestoppt
running,Läuft
paused,Pausiert
Add a note...,Notiz hinzufügen...
Add entry for yesterday,Eintrag für gestern hinzufügen
Add your first entry,Ersten Eintrag hinzufügen
Archive,Archivieren
Auto-stop Timer After,Timer automatisch stoppen nach
Billable,Abrechenbar
"Billable {0}","Abrechenbar {0}"
Cancel,Abbrechen
"Cannot delete tag — {0} entries use it.","Etikett kann nicht gelöscht werden – {0} Einträge verwenden es."
Category,Kategorie
Client,Kunde
Color,Farbe
"Connection Failed",Verbindung fehlgeschlagen
"Connection OK",Verbindung OK
"Custom…","Benutzerdefiniert…"
Daily,Täglich
"Daily view",Tagesansicht
"Date range",Zeitraum
days,Tage
Default Entry Type,Standard-Eintragstyp
Default Rate,Standard-Stundensatz
"Default activity type",Standard-Aktivitätstyp
Delete,Löschen
Description,Beschreibung
Dismiss,Schließen
Do you want to sync all unsynced time entries to ERPNext now?,Alle nicht synchronisierten Zeiteinträge jetzt mit ERPNext synchronisieren?
Duplicate,Duplizieren
Duration,Dauer
Edit,Bearbeiten
Enable ERPNext bridge,ERPNext-Brücke aktivieren
End time,Endzeit
"Entries forwarded",Einträge übermittelt
"Entries older than {0} days are locked. Contact your administrator.","Einträge älter als {0} Tage sind gesperrt. Bitte wende dich an den Administrator."
ERPNext Bridge,ERPNext-Brücke
"ERPNext is not installed on this site.",ERPNext ist auf dieser Website nicht installiert.
"ERPNext is reachable and Timesheet access is confirmed.",ERPNext ist erreichbar und der Stundenzettelzugriff wurde bestätigt.
"ERPNext site URL",ERPNext-Site-URL
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","ERPNext-Stundenzettel {0} für {1} ist eingereicht – erneute Synchronisierung nicht möglich."
"ERPNext Timesheet is submitted — re-sync blocked","ERPNext-Stundenzettel ist eingereicht – erneute Synchronisierung nicht möglich"
"Est. {0}","Gesch. {0}"
"Est. amount",Betrag
"Every 6 hours","Alle 6 Stunden"
"All time","Gesamter Zeitraum"
"This year","Dieses Jahr"
"Last year","Letztes Jahr"
"Download CSV","CSV herunterladen"
"Export my data","Meine Daten exportieren"
"Download all your time entries as CSV.","Lade alle deine Zeiteinträge als CSV herunter."
"Export CSV","CSV exportieren"
"Export successful","Export erfolgreich"
"Failed to forward entries: {0}","Übermittlung fehlgeschlagen: {0}"
"Watch Settings","Watch-Einstellungen"
"Watch Tag","Watch-Etikett"
"Watch Entry","Watch-Eintrag"
"Watch Entry Tag","Watch-Eintrag-Etikett"
"Watch Timer","Watch-Timer"
"Forwarded {0} to {1}","{0} an {1} übermittelt"
From,Von
General,Allgemein
Hourly,Stündlich
hours,Stunden
"Hide weekends","Wochenenden ausblenden"
Internal,Intern
