source,translation
"Billed as {0}","Χρεώθηκε ως {0}"
"exact — rounding skipped","ακριβές — η στρογγυλοποίηση παραλείφθηκε"
"Use exact","Χρήση ακριβούς"
"Apply rounding","Εφαρμογή στρογγυλοποίησης"
Exact,Ακριβές
Billed,Χρεωμένο
"* Rounded up to nearest increment","* Στρογγυλοποιήθηκε προς τα πάνω στο πλησιέστερο διάστημα"
billable,χρεώσιμο
non-billable,μη χρεώσιμο
internal,εσωτερικό
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,σταματημένο
running,εκτελείται
paused,σε παύση
"Add a note...","Προσθήκη σημείωσης..."
"Add entry for yesterday","Προσθήκη καταχώρησης για χθες"
"Add your first entry","Προσθέστε την πρώτη σας καταχώρηση"
Archive,Αρχειοθέτηση
"Auto-stop Timer After","Αυτόματη διακοπή χρονομέτρου μετά από"
Billable,Χρεώσιμο
"Billable {0}","Χρεώσιμο {0}"
Cancel,Ακύρωση
"Cannot delete tag — {0} entries use it.","Δεν μπορεί να διαγραφεί η ετικέτα — {0} καταχωρήσεις τη χρησιμοποιούν."
Category,Κατηγορία
Client,Πελάτης
Color,Χρώμα
"Connection Failed","Η σύνδεση απέτυχε"
"Connection OK","Σύνδεση OK"
"Custom…","Προσαρμοσμένο…"
Daily,Ημερήσιο
"Daily view","Ημερήσια προβολή"
"Date range","Εύρος ημερομηνιών"
days,ημέρες
"Default Entry Type","Προεπιλεγμένος τύπος καταχώρησης"
"Default Rate","Προεπιλεγμένη ωριαία αμοιβή"
"Default activity type","Προεπιλεγμένος τύπος δραστηριότητας"
Delete,Διαγραφή
Description,Περιγραφή
Dismiss,Απόρριψη
"Do you want to sync all unsynced time entries to ERPNext now?","Θέλετε να συγχρονίσετε τώρα όλες τις μη συγχρονισμένες χρονοκαταχωρήσεις στο ERPNext;"
Duplicate,Αντίγραφο
Duration,Διάρκεια
Edit,Επεξεργασία
