source,translation
Billed as {0},Contabilizado como {0}
exact — rounding skipped,exacto — redondeo omitido
Use exact,Usar valor exacto
Apply rounding,Aplicar redondeo
Exact,Exacto
Billed,Contabilizado
* Rounded up to nearest increment,* Redondeado al incremento superior
billable,imputable
non-billable,no imputable
internal,interno
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,detenido
running,en curso
paused,en pausa
Add a note...,Añadir una nota…
Add entry for yesterday,Añadir entrada para ayer
Add your first entry,Añade tu primera entrada
Archive,Archivar
Auto-stop Timer After,Detener el temporizador automáticamente después de
Billable,Imputable
Billable {0},Imputable {0}
Cancel,Cancelar
Cannot delete tag — {0} entries use it.,No se puede eliminar el tag — {0} entradas lo utilizan.
Category,Categoría
Client,Cliente
Color,Color
Connection Failed,Conexión fallida
Connection OK,Conexión OK
Custom…,Personalizado…
Daily,Diario
Daily view,Vista diaria
Date range,Período
days,días
Default Entry Type,Tipo de entrada predeterminado
Default Rate,Tarifa predeterminada
Default activity type,Tipo de actividad predeterminado
Delete,Eliminar
Description,Descripción
Dismiss,Descartar
Do you want to sync all unsynced time entries to ERPNext now?,¿Desea sincronizar ahora todas las entradas no sincronizadas con ERPNext?
Duplicate,Duplicar
Duration,Duración
Edit,Editar
Enable ERPNext bridge,Activar puente ERPNext
End time,Hora de fin
Entries forwarded,Entradas transmitidas
Entries older than {0} days are locked. Contact your administrator.,Las entradas con más de {0} días están bloqueadas. Contacte con su administrador.
ERPNext Bridge,Puente ERPNext
ERPNext is not installed on this site.,ERPNext no está instalado en este sitio.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext es accesible y el acceso a hojas de tiempo está confirmado.
ERPNext site URL,URL del sitio ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,La hoja de tiempo ERPNext {0} para {1} está enviada — re-sincronización bloqueada.
ERPNext Timesheet is submitted — re-sync blocked,La hoja de tiempo ERPNext está enviada — re-sincronización bloqueada
Est. {0},Est. {0}
Est. amount,Importe est.
Every 6 hours,Cada 6 horas
All time,Todo el período
This year,Este año
Last year,El año pasado
Download CSV,Descargar CSV
Export my data,Exportar mis datos
Download all your time entries as CSV.,Descargue todas sus entradas de tiempo como CSV.
Export CSV,Exportar CSV
Export successful,Exportación exitosa
Failed to forward entries: {0},Error al transmitir entradas: {0}
Watch Settings,Configuración de Watch
Watch Tag,Tag de Watch
Watch Entry,Entrada de Watch
Watch Entry Tag,Tag de entrada de Watch
Watch Timer,Temporizador de Watch
Forwarded {0} to {1},{0} transmitido a {1}
From,Desde
General,General
Hourly,Cada hora
hours,horas
Hide weekends,Ocultar fines de semana
Internal,Interno
Internal / overhead,Interno / gastos generales
