source,translation
Billed as {0},Kontatua {0} gisa
exact — rounding skipped,zehatza — biribilketa saltatua
Use exact,Erabili zehatza
Apply rounding,Aplikatu biribilketa
Exact,Zehatza
Billed,Kontatua
* Rounded up to nearest increment,* Hurbileko gehikuntzara biribildu da
billable,ordaingarria
non-billable,ordaingaitza
internal,barnekoa
on_save,on_save
manual,eskuzkoa
scheduled,programatua
hourly,orduro
every_6_hours,every_6_hours
daily,egunero
stopped,gelditua
running,martxan
paused,pausatua
Add a note...,Gehitu ohar bat...
Add entry for yesterday,Gehitu atzoko sarrera
Add your first entry,Gehitu zure lehen sarrera
Archive,Artxibatu
Auto-stop Timer After,Kronometroa automatikoki gelditu ondoren
Billable,Ordaingarria
Billable {0},Ordaingarria {0}
Cancel,Utzi
Cannot delete tag — {0} entries use it.,Ezin da etiketa ezabatu — {0} sarrerak erabiltzen dute.
Category,Kategoria
Client,Bezeroa
Color,Kolorea
Connection Failed,Konexioak huts egin du
Connection OK,Konexioa ondo
Custom…,Pertsonalizatua…
Daily,Egunero
Daily view,Eguneko ikuspegia
Date range,Data-tartea
days,egun
Default Entry Type,Sarrera mota lehenetsia
Default Rate,Tarifa lehenetsia
Default activity type,Jarduera mota lehenetsia
Delete,Ezabatu
Description,Deskribapena
Dismiss,Baztertu
Do you want to sync all unsynced time entries to ERPNext now?,Sinkronizatu gabeko denbora-sarrera guztiak ERPNext-era sinkronizatu nahi dituzu orain?
Duplicate,Bikoiztu
Duration,Iraupena
Edit,Editatu
Enable ERPNext bridge,Gaitu ERPNext zubia
End time,Amaiera ordua
Entries forwarded,Sarrerak bidaliak
Entries older than {0} days are locked. Contact your administrator.,{0} egun baino zaharragoak diren sarrerak blokeatuta daude. Jarri harremanetan administratzailearekin.
ERPNext Bridge,ERPNext zubia
ERPNext is not installed on this site.,ERPNext ez dago gune honetan instalatuta.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext eskuragarri dago eta ordu-orrirako sarbidea berretsita dago.
ERPNext site URL,ERPNext gunearen URLa
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext ordu-orria {0} {1}-(e)rako bidalita dago — birsinkronizazioa blokeatua.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext ordu-orria bidalita dago — birsinkronizazioa blokeatua
Est. {0},Aurreik. {0}
Est. amount,Aurreik. zenbatekoa
Every 6 hours,6 orduro
All time,Denbora guztian
This year,Aurten
Last year,Iaz
Download CSV,Deskargatu CSV
Export my data,Esportatu nire datuak
Download all your time entries as CSV.,Deskargatu zure denbora-sarrera guztiak CSV gisa.
Export CSV,Esportatu CSV
Export successful,Esportazioa ongi burutu da
Failed to forward entries: {0},Sarrerak bidaltzeak huts egin du: {0}
Watch Settings,Watch ezarpenak
Watch Tag,Watch etiketa
Watch Entry,Watch sarrera
Watch Entry Tag,Watch sarrera-etiketa
Watch Timer,Watch kronometroa
Forwarded {0} to {1},{0} {1}-(e)ra bidalia
From,Noiztik
General,Orokorra
Hourly,Orduro
hours,ordu
Hide weekends,Ezkutatu asteburuak
Internal,Barnekoa
Internal / overhead,Barnekoa / gastu orokorrak
Last bulk sync,Azken sinkronizazio masiboa
Last month,Aurreko hilabetea
Last sync error,Azken sinkronizazio-errorea
Last week,Aurreko astea
Less,Gutxiago
Lock Entries Older Than,Blokeatu zaharragoak diren sarrerak
Manual,Eskuzkoa
Map project tags,Esleitu proiektu-etiketak
Merge,Batu
Merge {0} into:,Batu {0} hemen:
Mon,Al
More,Gehiago
Navigate,Nabigatu
New Tag,Etiketa berria
No entries for {0},Ez dago sarrerarik {0}-(e)rako
No entries yet,Oraindik ez dago sarrerarik
No tags yet,Oraindik ez dago etiketarik
