source,translation
"Billed as {0}","Merkitty tilaksi {0}"
"exact — rounding skipped","tarkka — pyöristys ohitettu"
"Use exact","Käytä tarkkaa"
"Apply rounding","Käytä pyöristystä"
Exact,Tarkka
Billed,Merkitty
"* Rounded up to nearest increment","* Pyöristetty ylöspäin lähimpään jaksoon"
billable,veloitettava
non-billable,ei-veloitettava
internal,sisäinen
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,pysäytetty
running,käynnissä
paused,tauolla
"Add a note...","Lisää muistiinpano..."
"Add entry for yesterday","Lisää merkintä eiliselle"
"Add your first entry","Lisää ensimmäinen merkintä"
Archive,Arkistoi
"Auto-stop Timer After","Pysäytä ajastin automaattisesti"
Billable,Veloitettava
"Billable {0}","Veloitettava {0}"
Cancel,Peruuta
"Cannot delete tag — {0} entries use it.","Tagia ei voi poistaa — {0} merkintää käyttää sitä."
Category,Kategoria
Client,Asiakas
Color,Väri
"Connection Failed","Yhteys epäonnistui"
"Connection OK","Yhteys OK"
"Custom…","Mukautettu…"
Daily,Päivittäinen
"Daily view","Päivänäkymä"
"Date range","Aikaväli"
days,päivää
"Default Entry Type","Oletusmerkintätyyppi"
"Default Rate","Oletustuntihinta"
"Default activity type","Oletusaktiviteettityyppi"
Delete,Poista
Description,Kuvaus
Dismiss,Hylkää
"Do you want to sync all unsynced time entries to ERPNext now?","Haluatko synkronoida kaikki synkronoimattomat aikamerkinnät ERPNext-järjestelmään nyt?"
Duplicate,Kopioi
Duration,Kesto
Edit,Muokkaa
"Enable ERPNext bridge","Ota ERPNext-silta käyttöön"
"End time","Lopetusaika"
"Entries forwarded","Merkinnät välitetty"
"Entries older than {0} days are locked. Contact your administrator.","Yli {0} päivää vanhat merkinnät on lukittu. Ota yhteyttä järjestelmänvalvojaan."
"ERPNext Bridge","ERPNext-silta"
"ERPNext is not installed on this site.","ERPNext ei ole asennettu tälle sivustolle."
"ERPNext is reachable and Timesheet access is confirmed.","ERPNext on tavoitettavissa ja tuntilistan käyttöoikeus vahvistettu."
"ERPNext site URL","ERPNext-sivuston URL"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","ERPNext-tuntilista {0} käyttäjälle {1} on lähetetty — uudelleensynkronointi estetty."
"ERPNext Timesheet is submitted — re-sync blocked","ERPNext-tuntilista on lähetetty — uudelleensynkronointi estetty"
"Est. {0}","Arv. {0}"
"Est. amount","Arv. summa"
"Every 6 hours","Joka 6. tunti"
"All time","Koko aika"
"This year","Tämä vuosi"
"Last year","Viime vuosi"
"Download CSV","Lataa CSV"
"Export my data","Vie omat tiedot"
"Download all your time entries as CSV.","Lataa kaikki aikamerkintäsi CSV-tiedostona."
"Export CSV","Vie CSV"
"Export successful","Vienti onnistui"
"Failed to forward entries: {0}","Merkintöjen välitys epäonnistui: {0}"
"Watch Settings","Watch-asetukset"
"Watch Tag","Watch-tagi"
"Watch Entry","Watch-merkintä"
"Watch Entry Tag","Watch-merkintätagi"
"Watch Timer","Watch-ajastin"
"Forwarded {0} to {1}","Välitetty {0} kohteeseen {1}"
From,Alkaen
General,Yleiset
Hourly,Tunneittain
hours,tuntia
"Hide weekends","Piilota viikonloput"
Internal,Sisäinen
"Internal / overhead","Sisäinen / yleiskustannus"
"Last bulk sync","Viimeisin massasynkronointi"
"Last month","Viime kuukausi"
"Last sync error","Viimeisin synkronointivirhe"
"Last week","Viime viikko"
Less,Vähemmän
"Lock Entries Older Than","Lukitse merkinnät vanhemmat kuin"
Manual,Manuaalinen
"Map project tags","Yhdistä projektitägit"
Merge,Yhdistä
"Merge {0} into:","Yhdistä {0} kohteeseen:"
Mon,Ma
More,Lisää
Navigate,Siirry
"New Tag","Uusi tagi"
"No entries for {0}","Ei merkintöjä kohteelle {0}"
"No entries yet","Ei merkintöjä vielä"
"No tags yet","Ei tageja vielä"
"No timer is running","Ajastin ei ole käynnissä"
Non-billable,Ei-veloitettava
"(no description)","(ei kuvausta)"
"(not billed)","(ei merkitty)"
"Nothing logged yesterday ({0})","Eiliselle ei kirjattu mitään ({0})"
"Open prepare summary","Avaa valmistelun yhteenveto"
"Open settings","Avaa asetukset"
"Open tag management","Avaa tagien hallinta"
"Open today's view","Avaa päivänäkymä"
"Open weekly view","Avaa viikkonäkymä"
Other,Muu
Pause,Tauko
Prepare,Valmistele
"Prepare Summary","Valmistelun yhteenveto"
Project,Projekti
Rate,Tuntihinta
Rename,Nimeä uudelleen
Resume,Jatka
"Saved — {0}","Tallennettu — {0}"
Save,Tallenna
Sat,La
Scheduled,Ajastettu
Send,Lähetä
Settings,Asetukset
"Show weekends","Näytä viikonloput"
"Start time","Aloitusaika"
"Start Timer","Käynnistä ajastin"
"Start timer: ""{0}""","Käynnistä ajastin: ""{0}"""
"Stop current & start: ""{0}""","Pysäytä nykyinen ja käynnistä: ""{0}"""
"Started yesterday","Aloitettu eilen"
Sun,Su
