source,translation
Billed as {0},Billeáilte mar {0}
exact — rounding skipped,beacht — slánú scipeáilte
Use exact,Úsáid beacht
Apply rounding,Cuir slánú i bhfeidhm
Exact,Beacht
Billed,Billeáilte
* Rounded up to nearest increment,* Slánaithe suas go dtí an t-incrimint is gaire
billable,inbhilleáilte
non-billable,neamh-inbhilleáilte
internal,inmheánach
on_save,on_save
manual,láimhe
scheduled,sceidealta
hourly,in aghaidh na huaire
every_6_hours,every_6_hours
daily,laethúil
stopped,stoptha
running,ag rith
paused,curtha ar sos
Add a note...,Cuir nóta leis...
Add entry for yesterday,Cuir iontráil inné leis
Add your first entry,Cuir d'iontráil chéad leis
Archive,Cartlann
Auto-stop Timer After,Uath-stop amadóir tar éis
Billable,Inbhilleáilte
Billable {0},Inbhilleáilte {0}
Cancel,Cealaigh
Cannot delete tag — {0} entries use it.,Ní féidir an clib a scriosadh — úsáideann {0} iontráil é.
Category,Catagóir
Client,Cliant
Color,Dath
Connection Failed,Theip ar an gceangal
Connection OK,Ceangal ceart go leor
Custom…,Saincheaptha…
Daily,Laethúil
Daily view,Amharc laethúil
Date range,Raon dátaí
days,lá
Default Entry Type,Cineál iontráil réamhshocraithe
Default Rate,Ráta réamhshocraithe
Default activity type,Cineál gníomhaíochta réamhshocraithe
Delete,Scrios
Description,Cur síos
Dismiss,Díbhe
Do you want to sync all unsynced time entries to ERPNext now?,Ar mhaith leat na hiontrálacha ama neamh-shioncronaithe go léir a shioncronú le ERPNext anois?
Duplicate,Dúblaigh
Duration,Fad
Edit,Cuir in eagar
Enable ERPNext bridge,Cumasaigh droichead ERPNext
End time,Am deiridh
Entries forwarded,Iontrálacha curtha ar aghaidh
Entries older than {0} days are locked. Contact your administrator.,Tá iontrálacha níos sine ná {0} lá glasáilte. Déan teagmháil le do riarthóir.
ERPNext Bridge,Droichead ERPNext
ERPNext is not installed on this site.,Níl ERPNext suiteáilte ar an suíomh seo.
ERPNext is reachable and Timesheet access is confirmed.,Tá ERPNext inrochtana agus tá rochtain ar an mbileog ama deimhnithe.
ERPNext site URL,URL suímh ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,Tá bileog ama ERPNext {0} do {1} curtha isteach — ath-shioncronú blocáilte.
ERPNext Timesheet is submitted — re-sync blocked,Tá bileog ama ERPNext curtha isteach — ath-shioncronú blocáilte
Est. {0},Meast. {0}
Est. amount,Méid meast.
Every 6 hours,Gach 6 uair an chloig
All time,An t-am go léir
This year,I mbliana
Last year,Anuraidh
Download CSV,Íoslódáil CSV
Export my data,Easpórtáil mo chuid sonraí
Download all your time entries as CSV.,Íoslódáil d'iontrálacha ama go léir mar CSV.
Export CSV,Easpórtáil CSV
Export successful,D'éirigh leis an easpórtáil
Failed to forward entries: {0},Theip ar iontrálacha a chur ar aghaidh: {0}
Watch Settings,Socruithe Watch
Watch Tag,Clib Watch
Watch Entry,Iontráil Watch
Watch Entry Tag,Clib iontráil Watch
Watch Timer,Amadóir Watch
Forwarded {0} to {1},{0} curtha ar aghaidh go {1}
From,Ó
General,Ginearálta
Hourly,In aghaidh na huaire
hours,uair an chloig
Hide weekends,Folaigh deirí seachtaine
Internal,Inmheánach
Internal / overhead,Inmheánach / forchostais
Last bulk sync,Sioncronú mór deireanach
Last month,An mhí seo caite
Last sync error,Earráid shioncronaithe dheireanach
Last week,An tseachtain seo caite
Less,Níos lú
Lock Entries Older Than,Glasáil iontrálacha níos sine ná
Manual,Láimhe
Map project tags,Mapáil clibeanna tionscadail
Merge,Cumaisc
Merge {0} into:,Cumaisc {0} isteach i:
Mon,Lua
More,Tuilleadh
Navigate,Nascleanúint
New Tag,Clib nua
No entries for {0},Gan iontrálacha do {0}
No entries yet,Gan iontrálacha fós
No tags yet,Gan clibeanna fós
No timer is running,Níl aon amadóir ag rith
Non-billable,Neamh-inbhilleáilte
(no description),(gan cur síos)
(not billed),(gan bhilleáil)
Nothing logged yesterday ({0}),Rud ar bith logáilte inné ({0})
Open prepare summary,Oscail achoimre ullmhúcháin
Open settings,Oscail socruithe
Open tag management,Oscail bainistíocht clibeanna
Open today's view,Oscail amharc an lae inniu
Open weekly view,Oscail amharc seachtainiúil
Other,Eile
Pause,Cuir ar sos
Prepare,Ullmhaigh
