source,translation
Billed as {0},Contabilizado como {0}
exact — rounding skipped,exacto — redondeo omitido
Use exact,Usar exacto
Apply rounding,Aplicar redondeo
Exact,Exacto
Billed,Contabilizado
* Rounded up to nearest increment,* Redondeado ao incremento máis próximo
billable,cobrable
non-billable,non cobrable
internal,interno
on_save,on_save
manual,manual
scheduled,programado
hourly,cada hora
every_6_hours,every_6_hours
daily,diario
stopped,detido
running,en marcha
paused,en pausa
Add a note...,Engadir unha nota...
Add entry for yesterday,Engadir entrada de onte
Add your first entry,Engade a túa primeira entrada
Archive,Arquivar
Auto-stop Timer After,Deter temporizador automaticamente despois de
Billable,Cobrable
Billable {0},Cobrable {0}
Cancel,Cancelar
Cannot delete tag — {0} entries use it.,Non se pode eliminar a etiqueta — {0} entradas úsana.
Category,Categoría
Client,Cliente
Color,Cor
Connection Failed,Conexión fallida
Connection OK,Conexión correcta
Custom…,Personalizado…
Daily,Diario
Daily view,Vista diaria
Date range,Intervalo de datas
days,días
Default Entry Type,Tipo de entrada por defecto
Default Rate,Tarifa por defecto
Default activity type,Tipo de actividade por defecto
Delete,Eliminar
Description,Descrición
Dismiss,Descartar
Do you want to sync all unsynced time entries to ERPNext now?,Queres sincronizar todas as entradas de tempo non sincronizadas con ERPNext agora?
Duplicate,Duplicar
Duration,Duración
Edit,Editar
Enable ERPNext bridge,Activar a ponte ERPNext
End time,Hora de fin
Entries forwarded,Entradas remitidas
Entries older than {0} days are locked. Contact your administrator.,As entradas de máis de {0} días están bloqueadas. Contacta co administrador.
ERPNext Bridge,Ponte ERPNext
ERPNext is not installed on this site.,ERPNext non está instalado neste sitio.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext é accesible e o acceso á folla de horas está confirmado.
ERPNext site URL,URL do sitio ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,A folla de horas ERPNext {0} para {1} está enviada — resincronización bloqueada.
ERPNext Timesheet is submitted — re-sync blocked,A folla de horas ERPNext está enviada — resincronización bloqueada
Est. {0},Est. {0}
Est. amount,Importe est.
Every 6 hours,Cada 6 horas
All time,Todo o tempo
This year,Este ano
Last year,O ano pasado
Download CSV,Descargar CSV
Export my data,Exportar os meus datos
Download all your time entries as CSV.,Descarga todas as túas entradas de tempo como CSV.
Export CSV,Exportar CSV
Export successful,Exportación correcta
Failed to forward entries: {0},Erro ao remitir as entradas: {0}
Watch Settings,Configuración de Watch
Watch Tag,Etiqueta de Watch
Watch Entry,Entrada de Watch
Watch Entry Tag,Etiqueta de entrada de Watch
Watch Timer,Temporizador de Watch
Forwarded {0} to {1},Remitido {0} a {1}
From,Desde
General,Xeral
Hourly,Cada hora
hours,horas
Hide weekends,Ocultar fins de semana
Internal,Interno
