source,translation
Billed as {0},{0} તરીકે બિલ કરાયું
exact — rounding skipped,ચોક્કસ — રાઉન્ડિંગ છોડવામાં આવ્યું
Use exact,ચોક્કસ વાપરો
Apply rounding,રાઉન્ડિંગ લાગુ કરો
Exact,ચોક્કસ
Billed,બિલ કરાયું
* Rounded up to nearest increment,* નજીકના ઇન્ક્રિમેન્ટ પર રાઉન્ડ અપ
billable,બિલપાત્ર
non-billable,બિન-બિલપાત્ર
internal,આંતરિક
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,બંધ
running,ચાલુ
paused,વિરામ
Add a note...,નોંધ ઉમેરો...
Add entry for yesterday,ગઈકાલ માટે એન્ટ્રી ઉમેરો
Add your first entry,તમારી પ્રથમ એન્ટ્રી ઉમેરો
Archive,આર્કાઇવ
Auto-stop Timer After,આટલા સમય પછી ટાઇમર આપોઆપ બંધ
Billable,બિલપાત્ર
Billable {0},બિલપાત્ર {0}
Cancel,રદ કરો
Cannot delete tag — {0} entries use it.,ટેગ કાઢી શકાતો નથી — {0} એન્ટ્રી તેનો ઉપયોગ કરે છે.
Category,શ્રેણી
Client,ક્લાયન્ટ
Color,રંગ
Connection Failed,કનેક્શન નિષ્ફળ
Connection OK,કનેક્શન ઠીક છે
Custom…,કસ્ટમ…
Daily,દૈનિક
Daily view,દૈનિક દૃશ્ય
Date range,તારીખ શ્રેણી
days,દિવસ
Default Entry Type,ડિફોલ્ટ એન્ટ્રી પ્રકાર
Default Rate,ડિફોલ્ટ રેટ
Default activity type,ડિફોલ્ટ પ્રવૃત્તિ પ્રકાર
Delete,કાઢી નાખો
Description,વર્ણન
Dismiss,રદ કરો
Do you want to sync all unsynced time entries to ERPNext now?,શું તમે હવે તમામ અનસિંક ટાઇમ એન્ટ્રી ERPNext પર સિંક કરવા માંગો છો?
Duplicate,ડુપ્લિકેટ
Duration,સમયગાળો
Edit,ફેરફાર
Enable ERPNext bridge,ERPNext બ્રિજ સક્રિય કરો
End time,સમાપ્તિ સમય
Entries forwarded,એન્ટ્રી ફોરવર્ડ કરાઈ
Entries older than {0} days are locked. Contact your administrator.,{0} દિવસ કરતાં જૂની એન્ટ્રી લોક છે. તમારા વ્યવસ્થાપકનો સંપર્ક કરો.
ERPNext Bridge,ERPNext બ્રિજ
ERPNext is not installed on this site.,આ સાઇટ પર ERPNext ઇન્સ્ટોલ નથી.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext ઉપલબ્ધ છે અને ટાઇમશીટ ઍક્સેસ પુષ્ટિ થયેલ છે.
ERPNext site URL,ERPNext સાઇટ URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext ટાઇમશીટ {0} ({1} માટે) સબમિટ થયેલ છે — ફરી સિંક અવરોધિત.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext ટાઇમશીટ સબમિટ થયેલ છે — ફરી સિંક અવરોધિત
Est. {0},અંદા. {0}
Est. amount,અંદા. રકમ
Every 6 hours,દર ૬ કલાકે
All time,સર્વ સમય
This year,આ વર્ષ
Last year,ગયું વર્ષ
Download CSV,CSV ડાઉનલોડ કરો
Export my data,મારો ડેટા નિકાસ કરો
Download all your time entries as CSV.,તમારી તમામ ટાઇમ એન્ટ્રી CSV તરીકે ડાઉનલોડ કરો.
Export CSV,CSV નિકાસ
Export successful,નિકાસ સફળ
Failed to forward entries: {0},એન્ટ્રી ફોરવર્ડ કરવામાં નિષ્ફળ: {0}
Watch Settings,Watch સેટિંગ્સ
Watch Tag,Watch ટેગ
Watch Entry,Watch એન્ટ્રી
Watch Entry Tag,Watch એન્ટ્રી ટેગ
Watch Timer,Watch ટાઇમર
Forwarded {0} to {1},{0} ને {1} પર ફોરવર્ડ કરાયું
From,થી
General,સામાન્ય
Hourly,કલાકદીઠ
hours,કલાક
Hide weekends,સપ્તાહાંત છુપાવો
Internal,આંતરિક
Internal / overhead,આંતરિક / ઓવરહેડ
Last bulk sync,છેલ્લું બલ્ક સિંક
Last month,ગયો મહિનો
Last sync error,છેલ્લી સિંક ભૂલ
Last week,ગયું અઠવાડિયું
Less,ઓછું
Lock Entries Older Than,આ કરતાં જૂની એન્ટ્રી લોક કરો
Manual,મેન્યુઅલ
Map project tags,પ્રોજેક્ટ ટેગ મેપ કરો
Merge,મર્જ
Merge {0} into:,{0} ને મર્જ કરો:
Mon,સોમ
More,વધુ
Navigate,નેવિગેટ
New Tag,નવો ટેગ
No entries for {0},{0} માટે કોઈ એન્ટ્રી નથી
No entries yet,હજી કોઈ એન્ટ્રી નથી
No tags yet,હજી કોઈ ટેગ નથી
No timer is running,કોઈ ટાઇમર ચાલુ નથી
Non-billable,બિન-બિલપાત્ર
(no description),(કોઈ વર્ણન નથી)
(not billed),(બિલ કરાયું નથી)
Nothing logged yesterday ({0}),ગઈકાલે કંઈ લોગ થયું નથી ({0})
Open prepare summary,તૈયારી સારાંશ ખોલો
Open settings,સેટિંગ્સ ખોલો
Open tag management,ટેગ વ્યવસ્થાપન ખોલો
Open today's view,આજનું દૃશ્ય ખોલો
Open weekly view,સાપ્તાહિક દૃશ્ય ખોલો
Other,અન્ય
Pause,વિરામ
Prepare,તૈયાર કરો
Prepare Summary,તૈયારી સારાંશ
