source,translation
Billed as {0},חויב כ-{0}
exact — rounding skipped,מדויק — עיגול דולג
Use exact,השתמש במדויק
Apply rounding,החל עיגול
Exact,מדויק
Billed,חויב
* Rounded up to nearest increment,* עוגל כלפי מעלה לתוספת הקרובה
billable,לחיוב
non-billable,לא לחיוב
internal,פנימי
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,עצור
running,פועל
paused,מושהה
Add a note...,הוסף הערה...
Add entry for yesterday,הוסף רשומה ליום אתמול
Add your first entry,הוסף את הרשומה הראשונה שלך
Archive,ארכיון
Auto-stop Timer After,עצור טיימר אוטומטית אחרי
Billable,לחיוב
Billable {0},לחיוב {0}
Cancel,ביטול
Cannot delete tag — {0} entries use it.,לא ניתן למחוק תגית — {0} רשומות משתמשות בה.
Category,קטגוריה
Client,לקוח
Color,צבע
Connection Failed,החיבור נכשל
Connection OK,החיבור תקין
Custom…,מותאם אישית…
Daily,יומי
Daily view,תצוגה יומית
Date range,טווח תאריכים
days,ימים
Default Entry Type,סוג רשומה ברירת מחדל
Default Rate,תעריף ברירת מחדל
Default activity type,סוג פעילות ברירת מחדל
Delete,מחק
Description,תיאור
Dismiss,סגור
Do you want to sync all unsynced time entries to ERPNext now?,האם ברצונך לסנכרן את כל רשומות הזמן שלא סונכרנו ל-ERPNext כעת?
Duplicate,שכפל
Duration,משך
Edit,ערוך
Enable ERPNext bridge,הפעל גשר ERPNext
End time,שעת סיום
Entries forwarded,רשומות הועברו
Entries older than {0} days are locked. Contact your administrator.,רשומות ישנות מ-{0} ימים נעולות. פנה למנהל המערכת.
ERPNext Bridge,גשר ERPNext
ERPNext is not installed on this site.,ERPNext לא מותקן באתר זה.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext נגיש וגישה לדף שעות אושרה.
ERPNext site URL,כתובת אתר ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,דף שעות ERPNext {0} עבור {1} הוגש — סנכרון מחדש חסום.
ERPNext Timesheet is submitted — re-sync blocked,דף שעות ERPNext הוגש — סנכרון מחדש חסום
Est. {0},משו. {0}
Est. amount,משו. סכום
Every 6 hours,כל 6 שעות
All time,כל הזמנים
This year,השנה
Last year,שנה שעברה
Download CSV,הורד CSV
Export my data,ייצא את הנתונים שלי
Download all your time entries as CSV.,הורד את כל רשומות הזמן שלך כ-CSV.
Export CSV,ייצוא CSV
Export successful,הייצוא הצליח
