source,translation
"Billed as {0}","Elszámolva mint {0}"
"exact — rounding skipped","pontos — kerekítés kihagyva"
"Use exact","Pontos használata"
"Apply rounding","Kerekítés alkalmazása"
Exact,Pontos
Billed,Elszámolva
"* Rounded up to nearest increment","* Felkerekítve a legközelebbi intervallumra"
billable,elszámolható
non-billable,nem elszámolható
internal,belső
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,leállítva
running,fut
paused,szüneteltetve
"Add a note...","Jegyzet hozzáadása..."
"Add entry for yesterday","Bejegyzés hozzáadása tegnapra"
"Add your first entry","Első bejegyzés hozzáadása"
Archive,Archiválás
"Auto-stop Timer After","Időzítő automatikus leállítása"
Billable,Elszámolható
"Billable {0}","Elszámolható {0}"
Cancel,Mégse
"Cannot delete tag — {0} entries use it.","A címke nem törölhető — {0} bejegyzés használja."
Category,Kategória
Client,Ügyfél
Color,Szín
"Connection Failed","Kapcsolódás sikertelen"
"Connection OK","Kapcsolat OK"
"Custom…","Egyéni…"
Daily,Napi
"Daily view","Napi nézet"
"Date range","Időszak"
days,nap
"Default Entry Type","Alapértelmezett bejegyzéstípus"
"Default Rate","Alapértelmezett óradíj"
"Default activity type","Alapértelmezett tevékenységtípus"
Delete,Törlés
Description,Leírás
Dismiss,Elvetés
"Do you want to sync all unsynced time entries to ERPNext now?","Szeretné most szinkronizálni az összes szinkronizálatlan időbejegyzést az ERPNext-be?"
Duplicate,Másolat
Duration,Időtartam
Edit,Szerkesztés
"Enable ERPNext bridge","ERPNext híd engedélyezése"
"End time","Befejezés ideje"
"Entries forwarded","Bejegyzések továbbítva"
"Entries older than {0} days are locked. Contact your administrator.","A {0} napnál régebbi bejegyzések zárolva vannak. Forduljon a rendszergazdához."
"ERPNext Bridge","ERPNext híd"
"ERPNext is not installed on this site.","Az ERPNext nincs telepítve ezen a webhelyen."
"ERPNext is reachable and Timesheet access is confirmed.","Az ERPNext elérhető és a munkaidő-nyilvántartás hozzáférés megerősítve."
"ERPNext site URL","ERPNext webhely URL"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","ERPNext munkaidő-nyilvántartás {0} ({1}) elküldve — újraszinkronizálás blokkolva."
"ERPNext Timesheet is submitted — re-sync blocked","ERPNext munkaidő-nyilvántartás elküldve — újraszinkronizálás blokkolva"
"Est. {0}","Becs. {0}"
"Est. amount","Becs. összeg"
"Every 6 hours","6 óránként"
"All time","Teljes időszak"
"This year","Idei év"
"Last year","Tavaly"
"Download CSV","CSV letöltése"
"Export my data","Adataim exportálása"
"Download all your time entries as CSV.","Töltse le az összes időbejegyzését CSV-ként."
"Export CSV","CSV exportálása"
"Export successful","Exportálás sikeres"
"Failed to forward entries: {0}","Bejegyzések továbbítása sikertelen: {0}"
"Watch Settings","Watch beállítások"
"Watch Tag","Watch címke"
"Watch Entry","Watch bejegyzés"
"Watch Entry Tag","Watch bejegyzéscímke"
"Watch Timer","Watch időzítő"
"Forwarded {0} to {1}","Továbbítva {0} ide: {1}"
From,Ettől
General,Általános
Hourly,Óránként
hours,óra
"Hide weekends","Hétvégék elrejtése"
Internal,Belső
"Internal / overhead","Belső / általános költség"
"Last bulk sync","Utolsó tömeges szinkronizálás"
"Last month","Előző hónap"
"Last sync error","Utolsó szinkronizálási hiba"
"Last week","Előző hét"
Less,Kevesebb
"Lock Entries Older Than","Bejegyzések zárolása régebben mint"
Manual,Kézi
"Map project tags","Projektcímkék hozzárendelése"
Merge,Összevonás
"Merge {0} into:","Összevonás {0} ide:"
Mon,Hé
More,Több
Navigate,Navigálás
"New Tag","Új címke"
"No entries for {0}","Nincs bejegyzés erre: {0}"
"No entries yet","Még nincsenek bejegyzések"
"No tags yet","Még nincsenek címkék"
"No timer is running","Nincs futó időzítő"
Non-billable,Nem elszámolható
"(no description)","(nincs leírás)"
"(not billed)","(nem elszámolt)"
"Nothing logged yesterday ({0})","Tegnap nem lett semmi rögzítve ({0})"
"Open prepare summary","Előkészítési összesítő megnyitása"
"Open settings","Beállítások megnyitása"
"Open tag management","Címkekezelés megnyitása"
"Open today's view","Mai nézet megnyitása"
"Open weekly view","Heti nézet megnyitása"
Other,Egyéb
Pause,Szünet
Prepare,Előkészítés
"Prepare Summary","Előkészítési összesítő"
Project,Projekt
Rate,Óradíj
Rename,Átnevezés
Resume,Folytatás
"Saved — {0}","Mentve — {0}"
Save,Mentés
Sat,Szo
Scheduled,Ütemezett
Send,Küldés
Settings,Beállítások
"Show weekends","Hétvégék megjelenítése"
"Start time","Kezdés ideje"
"Start Timer","Időzítő indítása"
"Start timer: ""{0}""","Időzítő indítása: ""{0}"""
"Stop current & start: ""{0}""","Aktuális leállítása és indítás: ""{0}"""
