source,translation
Billed as {0},Contabilizzato come {0}
exact — rounding skipped,esatto — arrotondamento saltato
Use exact,Usa valore esatto
Apply rounding,Applica arrotondamento
Exact,Esatto
Billed,Contabilizzato
* Rounded up to nearest increment,* Arrotondato all'incremento più vicino
billable,imputabile
non-billable,non imputabile
internal,interno
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,fermato
running,in corso
paused,in pausa
Add a note...,Aggiungi una nota…
Add entry for yesterday,Aggiungi voce per ieri
Add your first entry,Aggiungi la tua prima voce
Archive,Archivia
Auto-stop Timer After,Arresto automatico del timer dopo
Billable,Imputabile
Billable {0},Imputabile {0}
Cancel,Annulla
Cannot delete tag — {0} entries use it.,Impossibile eliminare il tag — {0} voci lo utilizzano.
Category,Categoria
Client,Cliente
Color,Colore
Connection Failed,Connessione fallita
Connection OK,Connessione OK
Custom…,Personalizzato…
Daily,Giornaliero
Daily view,Vista giornaliera
Date range,Periodo
days,giorni
Default Entry Type,Tipo di voce predefinito
Default Rate,Tariffa predefinita
Default activity type,Tipo di attività predefinito
Delete,Elimina
Description,Descrizione
Dismiss,Chiudi
Do you want to sync all unsynced time entries to ERPNext now?,Vuoi sincronizzare ora tutte le voci non sincronizzate con ERPNext?
Duplicate,Duplica
Duration,Durata
Edit,Modifica
Enable ERPNext bridge,Attiva ponte ERPNext
End time,Ora di fine
Entries forwarded,Voci trasmesse
Entries older than {0} days are locked. Contact your administrator.,Le voci con più di {0} giorni sono bloccate. Contatta il tuo amministratore.
ERPNext Bridge,Ponte ERPNext
ERPNext is not installed on this site.,ERPNext non è installato su questo sito.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext è raggiungibile e l'accesso ai fogli ore è confermato.
ERPNext site URL,URL del sito ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,Il foglio ore ERPNext {0} per {1} è inviato — ri-sincronizzazione bloccata.
ERPNext Timesheet is submitted — re-sync blocked,Il foglio ore ERPNext è inviato — ri-sincronizzazione bloccata
Est. {0},Stima {0}
Est. amount,Importo stim.
Every 6 hours,Ogni 6 ore
All time,Tutti i periodi
This year,Quest'anno
Last year,L'anno scorso
Download CSV,Scarica CSV
Export my data,Esporta i miei dati
Download all your time entries as CSV.,Scarica tutte le tue voci di tempo come CSV.
Export CSV,Esporta CSV
Export successful,Esportazione riuscita
Failed to forward entries: {0},Trasmissione voci fallita: {0}
Watch Settings,Impostazioni Watch
Watch Tag,Tag Watch
Watch Entry,Voce Watch
Watch Entry Tag,Tag voce Watch
Watch Timer,Timer Watch
Forwarded {0} to {1},{0} trasmesso a {1}
From,Da
General,Generale
Hourly,Ogni ora
hours,ore
Hide weekends,Nascondi fine settimana
Internal,Interno
Internal / overhead,Interno / spese generali
Last bulk sync,Ultima sincronizzazione di massa
Last month,Il mese scorso
Last sync error,Ultimo errore di sincronizzazione
Last week,La settimana scorsa
Less,Meno
Lock Entries Older Than,Blocca voci più vecchie di
Manual,Manuale
Map project tags,Associa tag di progetto
Merge,Unisci
Merge {0} into:,Unisci {0} in:
Mon,Lun
More,Altro
Navigate,Naviga
New Tag,Nuovo tag
No entries for {0},Nessuna voce per {0}
No entries yet,Ancora nessuna voce
No tags yet,Ancora nessun tag
No timer is running,Nessun timer in corso
Non-billable,Non imputabile
(no description),(senza descrizione)
(not billed),(non contabilizzato)
Nothing logged yesterday ({0}),Niente registrato ieri ({0})
Open prepare summary,Apri il riepilogo
Open settings,Apri impostazioni
Open tag management,Apri gestione tag
Open today's view,Apri vista odierna
Open weekly view,Apri vista settimanale
Other,Altro
Pause,Pausa
Prepare,Prepara
Prepare Summary,Riepilogo
Project,Progetto
Rate,Tariffa
Rename,Rinomina
Resume,Riprendi
Saved — {0},Salvato — {0}
Save,Salva
Sat,Sab
Scheduled,Programmato
Send,Invia
Settings,Impostazioni
Show weekends,Mostra fine settimana
Start time,Ora di inizio
Start Timer,Avvia timer
"Start timer: ""{0}""","Avvia timer: ""{0}"""
"Stop current & start: ""{0}""","Ferma e avvia: ""{0}"""
Started yesterday,Iniziato ieri
Sun,Dom
Sync all unsynced entries,Sincronizza tutte le voci non sincronizzate
Sync billable entries only,Sincronizza solo le voci imputabili
Sync completed with errors,Sincronizzazione completata con errori
Sync complete,Sincronizzazione completata
Sync interval,Intervallo di sincronizzazione
Sync mode,Modalità di sincronizzazione
Synced to ERPNext,Sincronizzato con ERPNext
Syncing entries to ERPNext…,Sincronizzazione voci con ERPNext…
{0} day(s) synced.,{0} giorno/i sincronizzato/i.
Tag,Tag
Tag management,Gestione tag
Tag Name,Nome del tag
Tag renamed. {0} entries updated.,Tag rinominato. {0} voci aggiornate.
Tags,Tag
Tags merged. {0} entries re-tagged.,Tag uniti. {0} voci ri-etichettate.
Task,Attività
Test connection,Testa connessione
Test Connection,Testa connessione
This entry is locked,Questa voce è bloccata
This month,Questo mese
This week,Questa settimana
Thu,Gio
