source,translation
Billed as {0},ບິນເປັນ {0}
exact — rounding skipped,ແນ່ນອນ — ການປັດເສດຖືກຂ້າມ
Use exact,ໃຊ້ແນ່ນອນ
Apply rounding,ນຳໃຊ້ການປັດເສດ
Exact,ແນ່ນອນ
Billed,ບິນແລ້ວ
* Rounded up to nearest increment,* ປັດຂຶ້ນຫາການເພີ່ມຂຶ້ນໃກ້ທີ່ສຸດ
billable,ສາມາດບິນໄດ້
non-billable,ບໍ່ສາມາດບິນໄດ້
internal,ພາຍໃນ
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,ຢຸດແລ້ວ
running,ກຳລັງເຮັດວຽກ
paused,ຢຸດຊົ່ວຄາວ
Add a note...,ເພີ່ມບັນທຶກ...
Add entry for yesterday,ເພີ່ມລາຍການສຳລັບມື້ວານ
Add your first entry,ເພີ່ມລາຍການທຳອິດຂອງທ່ານ
Archive,ເກັບມ້ຽນ
Auto-stop Timer After,ຢຸດໂມງອັດຕະໂນມັດຫລັງຈາກ
Billable,ສາມາດບິນໄດ້
Billable {0},ສາມາດບິນໄດ້ {0}
Cancel,ຍົກເລີກ
Cannot delete tag — {0} entries use it.,ບໍ່ສາມາດລຶບປ້າຍໄດ້ — {0} ລາຍການໃຊ້ມັນ.
Category,ໝວດໝູ່
Client,ລູກຄ້າ
Color,ສີ
Connection Failed,ການເຊື່ອມຕໍ່ລົ້ມເຫລວ
Connection OK,ການເຊື່ອມຕໍ່ໂອເຄ
Custom…,ກຳນົດເອງ…
Daily,ປະຈຳວັນ
Daily view,ມຸມມອງປະຈຳວັນ
Date range,ຊ່ວງວັນທີ
days,ວັນ
Default Entry Type,ປະເພດລາຍການເລີ່ມຕົ້ນ
Default Rate,ອັດຕາເລີ່ມຕົ້ນ
Default activity type,ປະເພດກິດຈະກຳເລີ່ມຕົ້ນ
Delete,ລຶບ
Description,ລາຍລະອຽດ
Dismiss,ປິດ
Do you want to sync all unsynced time entries to ERPNext now?,ທ່ານຕ້ອງການຊິງລາຍການເວລາທີ່ຍັງບໍ່ໄດ້ຊິງທັງໝົດໄປ ERPNext ຕອນນີ້ບໍ?
Duplicate,ສຳເນົາ
Duration,ໄລຍະເວລາ
Edit,ແກ້ໄຂ
Enable ERPNext bridge,ເປີດໃຊ້ສະພານ ERPNext
End time,ເວລາສິ້ນສຸດ
Entries forwarded,ລາຍການຖືກສົ່ງຕໍ່
Entries older than {0} days are locked. Contact your administrator.,ລາຍການເກົ່າກວ່າ {0} ວັນຖືກລັອກ. ຕິດຕໍ່ຜູ້ດູແລລະບົບ.
ERPNext Bridge,ສະພານ ERPNext
ERPNext is not installed on this site.,ERPNext ບໍ່ໄດ້ຕິດຕັ້ງຢູ່ເວັບໄຊນີ້.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext ເຂົ້າເຖິງໄດ້ ແລະ ການເຂົ້າເຖິງຕາຕະລາງເວລາຖືກຢືນຢັນ.
ERPNext site URL,URL ເວັບໄຊ ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ຕາຕະລາງເວລາ ERPNext {0} (ສຳລັບ {1}) ຖືກສົ່ງ — ການຊິງຄືນຖືກບລັອກ.
ERPNext Timesheet is submitted — re-sync blocked,ຕາຕະລາງເວລາ ERPNext ຖືກສົ່ງ — ການຊິງຄືນຖືກບລັອກ
Est. {0},ປະ. {0}
Est. amount,ປະ. ຈຳນວນ
Every 6 hours,ທຸກ 6 ຊົ່ວໂມງ
All time,ທຸກເວລາ
This year,ປີນີ້
