source,translation
Billed as {0},{0} ആയി ബില്‍ ചെയ്തു
exact — rounding skipped,കൃത്യം — റൗണ്ടിംഗ് ഒഴിവാക്കി
Use exact,കൃത്യം ഉപയോഗിക്കുക
Apply rounding,റൗണ്ടിംഗ് പ്രയോഗിക്കുക
Exact,കൃത്യം
Billed,ബില്‍ ചെയ്തു
* Rounded up to nearest increment,* അടുത്ത ഇന്‍ക്രിമെന്‍റിലേക്ക് റൗണ്ട് അപ്
billable,ബില്ലബിള്‍
non-billable,നോണ്‍-ബില്ലബിള്‍
internal,ആന്തരികം
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,നിര്‍ത്തി
running,പ്രവര്‍ത്തിക്കുന്നു
paused,താല്‍ക്കാലികമായി നിര്‍ത്തി
Add a note...,ഒരു കുറിപ്പ് ചേര്‍ക്കുക...
Add entry for yesterday,ഇന്നലേക്കുള്ള എന്‍ട്രി ചേര്‍ക്കുക
Add your first entry,നിങ്ങളുടെ ആദ്യ എന്‍ട്രി ചേര്‍ക്കുക
Archive,ആര്‍ക്കൈവ്
Auto-stop Timer After,ഇത്ര സമയത്തിന് ശേഷം ടൈമര്‍ സ്വയം നിര്‍ത്തുക
Billable,ബില്ലബിള്‍
Billable {0},ബില്ലബിള്‍ {0}
Cancel,റദ്ദാക്കുക
Cannot delete tag — {0} entries use it.,ടാഗ് ഡിലീറ്റ് ചെയ്യാനാകില്ല — {0} എന്‍ട്രികള്‍ ഇത് ഉപയോഗിക്കുന്നു.
Category,വിഭാഗം
Client,ക്ലയന്‍റ്
Color,നിറം
Connection Failed,കണക്ഷന്‍ പരാജയപ്പെട്ടു
Connection OK,കണക്ഷന്‍ ശരി
Custom…,ഇഷ്ടാനുസൃതം…
Daily,ദൈനിക
Daily view,ദൈനിക കാഴ്ച
Date range,തീയതി ശ്രേണി
days,ദിവസങ്ങള്‍
Default Entry Type,ഡിഫോള്‍ട്ട് എന്‍ട്രി തരം
Default Rate,ഡിഫോള്‍ട്ട് റേറ്റ്
Default activity type,ഡിഫോള്‍ട്ട് ആക്ടിവിറ്റി തരം
Delete,ഡിലീറ്റ്
Description,വിവരണം
Dismiss,ഡിസ്മിസ്
Do you want to sync all unsynced time entries to ERPNext now?,ERPNext-ലേക്ക് എല്ലാ സിങ്ക് ചെയ്യാത്ത ടൈം എന്‍ട്രികളും ഇപ്പോള്‍ സിങ്ക് ചെയ്യണോ?
Duplicate,ഡ്യൂപ്ലിക്കേറ്റ്
Duration,ദൈര്‍ഘ്യം
Edit,എഡിറ്റ്
Enable ERPNext bridge,ERPNext ബ്രിഡ്ജ് സജീവമാക്കുക
End time,അവസാന സമയം
Entries forwarded,എന്‍ട്രികള്‍ ഫോര്‍വേഡ് ചെയ്തു
Entries older than {0} days are locked. Contact your administrator.,{0} ദിവസത്തിലും പഴയ എന്‍ട്രികള്‍ ലോക്ക് ചെയ്തിരിക്കുന്നു. നിങ്ങളുടെ അഡ്മിനിസ്ട്രേറ്ററെ ബന്ധപ്പെടുക.
ERPNext Bridge,ERPNext ബ്രിഡ്ജ്
ERPNext is not installed on this site.,ഈ സൈറ്റില്‍ ERPNext ഇന്‍സ്റ്റാള്‍ ചെയ്തിട്ടില്ല.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext ലഭ്യമാണ്. ടൈംഷീറ്റ് ആക്സസ് സ്ഥിരീകരിച്ചു.
ERPNext site URL,ERPNext സൈറ്റ് URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext ടൈംഷീറ്റ് {0} ({1}-ന്) സമര്‍പ്പിച്ചു — വീണ്ടും സിങ്ക് തടഞ്ഞു.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext ടൈംഷീറ്റ് സമര്‍പ്പിച്ചു — വീണ്ടും സിങ്ക് തടഞ്ഞു
Est. {0},കണക്ക്. {0}
Est. amount,കണക്ക്. തുക
Every 6 hours,ഓരോ 6 മണിക്കൂറിലും
All time,എല്ലാ സമയവും
This year,ഈ വര്‍ഷം
Last year,കഴിഞ്ഞ വര്‍ഷം
Download CSV,CSV ഡൗണ്‍ലോഡ് ചെയ്യുക
Export my data,എന്‍റെ ഡാറ്റ എക്സ്പോര്‍ട്ട് ചെയ്യുക
Download all your time entries as CSV.,നിങ്ങളുടെ എല്ലാ ടൈം എന്‍ട്രികളും CSV ആയി ഡൗണ്‍ലോഡ് ചെയ്യുക.
Export CSV,CSV എക്സ്പോര്‍ട്ട്
Export successful,എക്സ്പോര്‍ട്ട് വിജയകരം
Failed to forward entries: {0},എന്‍ട്രികള്‍ ഫോര്‍വേഡ് ചെയ്യുന്നതില്‍ പരാജയം: {0}
Watch Settings,Watch ക്രമീകരണങ്ങള്‍
Watch Tag,Watch ടാഗ്
Watch Entry,Watch എന്‍ട്രി
Watch Entry Tag,Watch എന്‍ട്രി ടാഗ്
Watch Timer,Watch ടൈമര്‍
Forwarded {0} to {1},{0} {1}-ലേക്ക് ഫോര്‍വേഡ് ചെയ്തു
From,മുതല്‍
General,സാധാരണ
Hourly,മണിക്കൂര്‍ തോറും
hours,മണിക്കൂറുകള്‍
Hide weekends,വാരാന്ത്യങ്ങള്‍ മറയ്ക്കുക
Internal,ആന്തരികം
Internal / overhead,ആന്തരികം / ഓവര്‍ഹെഡ്
Last bulk sync,അവസാന ബള്‍ക്ക് സിങ്ക്
Last month,കഴിഞ്ഞ മാസം
Last sync error,അവസാന സിങ്ക് പിശക്
Last week,കഴിഞ്ഞ ആഴ്ച
Less,കുറവ്
Lock Entries Older Than,ഇതിലും പഴയ എന്‍ട്രികള്‍ ലോക്ക് ചെയ്യുക
Manual,മാനുവല്‍
Map project tags,പ്രോജക്ട് ടാഗുകള്‍ മാപ്പ് ചെയ്യുക
Merge,ലയിപ്പിക്കുക
Merge {0} into:,{0} ലയിപ്പിക്കുക:
Mon,തിങ്കള്‍
More,കൂടുതല്‍
Navigate,നാവിഗേറ്റ്
New Tag,പുതിയ ടാഗ്
No entries for {0},{0}-ന് എന്‍ട്രികളില്ല
No entries yet,ഇതുവരെ എന്‍ട്രികളില്ല
No tags yet,ഇതുവരെ ടാഗുകളില്ല
