source,translation
Billed as {0},{0} म्हणून बिल केले
exact — rounding skipped,अचूक — राउंडिंग वगळले
Use exact,अचूक वापरा
Apply rounding,राउंडिंग लागू करा
Exact,अचूक
Billed,बिल केले
* Rounded up to nearest increment,* जवळच्या वाढीपर्यंत राउंड अप
billable,बिलपात्र
non-billable,बिलपात्र नाही
internal,अंतर्गत
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,थांबले
running,चालू
paused,विराम
Add a note...,टीप जोडा...
Add entry for yesterday,कालसाठी एन्ट्री जोडा
Add your first entry,तुमची पहिली एन्ट्री जोडा
Archive,संग्रहित करा
Auto-stop Timer After,इतक्या वेळानंतर टायमर स्वयं-थांबा
Billable,बिलपात्र
Billable {0},बिलपात्र {0}
Cancel,रद्द करा
Cannot delete tag — {0} entries use it.,टॅग हटवता येत नाही — {0} एन्ट्री हे वापरतात.
Category,वर्ग
Client,क्लायंट
Color,रंग
Connection Failed,कनेक्शन अयशस्वी
Connection OK,कनेक्शन ठीक
Custom…,सानुकूल…
Daily,दैनिक
Daily view,दैनिक दृश्य
Date range,तारीख श्रेणी
days,दिवस
Default Entry Type,डीफॉल्ट एन्ट्री प्रकार
Default Rate,डीफॉल्ट रेट
Default activity type,डीफॉल्ट क्रियाकलाप प्रकार
Delete,हटवा
Description,वर्णन
Dismiss,डिसमिस
Do you want to sync all unsynced time entries to ERPNext now?,तुम्ही आता सर्व अनसिंक टाइम एन्ट्री ERPNext ला सिंक करू इच्छिता?
Duplicate,डुप्लिकेट
Duration,कालावधी
Edit,संपादन
Enable ERPNext bridge,ERPNext ब्रिज सक्रिय करा
End time,समाप्ती वेळ
Entries forwarded,एन्ट्री फॉरवर्ड केल्या
Entries older than {0} days are locked. Contact your administrator.,{0} दिवसांपेक्षा जुन्या एन्ट्री लॉक आहेत. तुमच्या प्रशासकाशी संपर्क साधा.
ERPNext Bridge,ERPNext ब्रिज
ERPNext is not installed on this site.,या साइटवर ERPNext इन्स्टॉल नाही.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext उपलब्ध आहे आणि टाइमशीट ऍक्सेस पुष्टी झाली.
ERPNext site URL,ERPNext साइट URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext टाइमशीट {0} ({1} साठी) सबमिट केले — पुन्हा सिंक अवरोधित.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext टाइमशीट सबमिट केले — पुन्हा सिंक अवरोधित
Est. {0},अंदा. {0}
Est. amount,अंदा. रक्कम
Every 6 hours,दर ६ तासांनी
All time,सर्व काळ
This year,हे वर्ष
Last year,मागील वर्ष
Download CSV,CSV डाउनलोड करा
Export my data,माझा डेटा एक्सपोर्ट करा
Download all your time entries as CSV.,तुमच्या सर्व टाइम एन्ट्री CSV म्हणून डाउनलोड करा.
Export CSV,CSV एक्सपोर्ट
Export successful,एक्सपोर्ट यशस्वी
Failed to forward entries: {0},एन्ट्री फॉरवर्ड करण्यात अयशस्वी: {0}
Watch Settings,Watch सेटिंग्ज
Watch Tag,Watch टॅग
Watch Entry,Watch एन्ट्री
Watch Entry Tag,Watch एन्ट्री टॅग
Watch Timer,Watch टायमर
Forwarded {0} to {1},{0} ला {1} कडे फॉरवर्ड केले
From,पासून
General,सामान्य
Hourly,तासाला
hours,तास
Hide weekends,आठवड्याच्या शेवटचे दिवस लपवा
Internal,अंतर्गत
Internal / overhead,अंतर्गत / ओव्हरहेड
Last bulk sync,शेवटचे बल्क सिंक
Last month,मागील महिना
Last sync error,शेवटची सिंक त्रुटी
Last week,मागील आठवडा
Less,कमी
Lock Entries Older Than,यापेक्षा जुन्या एन्ट्री लॉक करा
Manual,मॅन्युअल
Map project tags,प्रकल्प टॅग मॅप करा
Merge,विलीन करा
Merge {0} into:,{0} विलीन करा:
Mon,सोम
More,अधिक
Navigate,नेव्हिगेट
New Tag,नवीन टॅग
No entries for {0},{0} साठी एन्ट्री नाहीत
No entries yet,अजून एन्ट्री नाहीत
No tags yet,अजून टॅग नाहीत
No timer is running,कोणताही टायमर चालू नाही
Non-billable,बिलपात्र नाही
(no description),(वर्णन नाही)
(not billed),(बिल केले नाही)
Nothing logged yesterday ({0}),काल काहीही लॉग केले नाही ({0})
Open prepare summary,तयारी सारांश उघडा
Open settings,सेटिंग्ज उघडा
Open tag management,टॅग व्यवस्थापन उघडा
Open today's view,आजचे दृश्य उघडा
Open weekly view,साप्ताहिक दृश्य उघडा
Other,इतर
Pause,विराम
Prepare,तयार करा
Prepare Summary,तयारी सारांश
Project,प्रकल्प
Rate,रेट
Rename,नाव बदला
Resume,पुन्हा सुरू करा
