source,translation
Billed as {0},Iffatturat bħala {0}
exact — rounding skipped,eżatt — ir-rounding inqabeż
Use exact,Uża eżatt
Apply rounding,Applika r-rounding
Exact,Eżatt
Billed,Iffatturat
* Rounded up to nearest increment,* Irrawndjar 'il fuq għall-eqreb inkrement
billable,fatturabbli
non-billable,mhux fatturabbli
internal,intern
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,waqaf
running,mixgħul
paused,ippawżat
Add a note...,Żid nota...
Add entry for yesterday,Żid dħul għal-bieraħ
Add your first entry,Żid l-ewwel dħul tiegħek
Archive,Arkivja
Auto-stop Timer After,Waqqaf it-tajmer awtomatikament wara
Billable,Fatturabbli
Billable {0},Fatturabbli {0}
Cancel,Ikkanċella
Cannot delete tag — {0} entries use it.,Ma tistax tħassar it-tikketta — {0} dħuliet jużawha.
Category,Kategorija
Client,Klijent
Color,Kulur
Connection Failed,Il-konnessjoni falliet
Connection OK,Il-konnessjoni tajba
Custom…,Personalizzat…
Daily,Kuljum
Daily view,Vista ta' kuljum
Date range,Medda tad-data
days,ġranet
Default Entry Type,Tip ta' dħul awtomatiku
Default Rate,Rata tas-siegħa awtomatika
Default activity type,Tip ta' attività awtomatiku
Delete,Ħassar
Description,Deskrizzjoni
Dismiss,Armi
Do you want to sync all unsynced time entries to ERPNext now?,Trid tissinkronizza d-dħuliet kollha mhux sinkronizzati lejn ERPNext issa?
Duplicate,Idduplika
Duration,Tul ta' żmien
Edit,Editja
Enable ERPNext bridge,Attiva l-pont ta' ERPNext
End time,Ħin tat-tmiem
Entries forwarded,Id-dħuliet intbagħtu
Entries older than {0} days are locked. Contact your administrator.,Id-dħuliet eqdem minn {0} ġurnata huma msakkar. Ikkuntattja l-amministratur tiegħek.
ERPNext Bridge,Pont ERPNext
ERPNext is not installed on this site.,ERPNext mhuwiex installat fuq dan is-sit.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext jista' jintlaħaq u l-aċċess għat-timesheet ikkkonfermat.
ERPNext site URL,URL tas-sit ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,It-timesheet ERPNext {0} għal {1} intbagħtet — is-sinkronizzazzjoni mill-ġdid imblukkata.
ERPNext Timesheet is submitted — re-sync blocked,It-timesheet ERPNext intbagħtet — is-sinkronizzazzjoni mill-ġdid imblukkata
Est. {0},Stmat. {0}
Est. amount,Stmat. ammont
Every 6 hours,Kull 6 sigħat
All time,Iż-żmien kollu
This year,Din is-sena
Last year,Is-sena l-oħra
Download CSV,Niżżel CSV
Export my data,Esporta d-data tiegħi
Download all your time entries as CSV.,Niżżel id-dħuliet kollha tiegħek bħala CSV.
Export CSV,Esporta CSV
Export successful,L-esportazzjoni rnexxiet
Failed to forward entries: {0},Ma rnexxilekx tibgħat id-dħuliet: {0}
Watch Settings,Watch settings
Watch Tag,Watch tikketta
Watch Entry,Watch dħul
Watch Entry Tag,Watch tikketta tad-dħul
Watch Timer,Watch tajmer
Forwarded {0} to {1},Intbagħat {0} lejn {1}
From,Minn
General,Ġenerali
Hourly,Kull siegħa
hours,sigħat
Hide weekends,Aħbi l-weekends
Internal,Intern
Internal / overhead,Intern / spejjeż ġenerali
Last bulk sync,L-aħħar sinkronizzazzjoni bl-ingrossa
Last month,Ix-xahar l-ieħor
Last sync error,L-aħħar żball tas-sinkronizzazzjoni
Last week,Il-ġimgħa l-oħra
Less,Inqas
Lock Entries Older Than,Sakkar dħuliet eqdem minn
Manual,Manwali
Map project tags,Immappja t-tikketetti tal-proġett
Merge,Għaqqad
Merge {0} into:,Għaqqad {0} fi:
Mon,Tn
More,Aktar
Navigate,Innaviga
New Tag,Tikketta ġdida
No entries for {0},L-ebda dħuliet għal {0}
No entries yet,Għad m'hemm l-ebda dħuliet
No tags yet,Għad m'hemm l-ebda tikketetti
No timer is running,L-ebda tajmer qed jaħdem
Non-billable,Mhux fatturabbli
(no description),(l-ebda deskrizzjoni)
(not billed),(mhux iffatturat)
Nothing logged yesterday ({0}),Xejn ma ġie rreġistrat il-bieraħ ({0})
Open prepare summary,Iftaħ is-sommarju tal-preparazzjoni
Open settings,Iftaħ is-settings
Open tag management,Iftaħ il-ġestjoni tat-tikketetti
Open today's view,Iftaħ il-vista tal-lum
Open weekly view,Iftaħ il-vista tal-ġimgħa
Other,Oħra
Pause,Pawża
Prepare,Ipprepara
Prepare Summary,Sommarju tal-preparazzjoni
Project,Proġett
Rate,Rata tas-siegħa
Rename,Erġa' semmi
Resume,Kompli
Saved — {0},Issejvjat — {0}
Save,Issejvja
Sat,Sb
Scheduled,Skedat
Send,Ibgħat
Settings,Settings
Show weekends,Uri l-weekends
Start time,Ħin tal-bidu
Start Timer,Ibda t-tajmer
"Start timer: ""{0}""","Ibda t-tajmer: ""{0}"""
"Stop current & start: ""{0}""","Waqqaf il-kurrenti u ibda: ""{0}"""
Started yesterday,Beda l-bieraħ
Sun,Ħd
Sync all unsynced entries,Issinkronizza d-dħuliet kollha mhux sinkronizzati
Sync billable entries only,Issinkronizza biss id-dħuliet fatturabbli
Sync completed with errors,Is-sinkronizzazzjoni tlestiet bi żbalji
Sync complete,Is-sinkronizzazzjoni tlestiet
Sync interval,Intervall tas-sinkronizzazzjoni
Sync mode,Mod tas-sinkronizzazzjoni
Synced to ERPNext,Issinkronizzat lejn ERPNext
Syncing entries to ERPNext…,Qed jissinkronizzaw id-dħuliet lejn ERPNext…
