source,translation
"Billed as {0}","Registrert som {0}"
"exact — rounding skipped","eksakt — avrunding hoppet over"
"Use exact","Bruk eksakt"
"Apply rounding","Bruk avrunding"
Exact,Eksakt
Billed,Registrert
"* Rounded up to nearest increment","* Rundet opp til nærmeste intervall"
billable,debiterbar
non-billable,ikke-debiterbar
internal,intern
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,stoppet
running,kjører
paused,satt på pause
"Add a note...","Legg til et notat..."
"Add entry for yesterday","Legg til oppføring for i går"
"Add your first entry","Legg til din første oppføring"
Archive,Arkiver
"Auto-stop Timer After","Stopp timer automatisk etter"
Billable,Debiterbar
"Billable {0}","Debiterbar {0}"
Cancel,Avbryt
"Cannot delete tag — {0} entries use it.","Kan ikke slette tagg — {0} oppføringer bruker den."
Category,Kategori
Client,Klient
Color,Farge
"Connection Failed","Tilkobling mislyktes"
"Connection OK","Tilkobling OK"
"Custom…","Tilpasset…"
Daily,Daglig
"Daily view","Dagsvisning"
"Date range","Datoperiode"
days,dager
"Default Entry Type","Standard oppføringstype"
"Default Rate","Standard timepris"
"Default activity type","Standard aktivitetstype"
Delete,Slett
Description,Beskrivelse
Dismiss,Avvis
"Do you want to sync all unsynced time entries to ERPNext now?","Vil du synkronisere alle usynkroniserte tidsoppføringer til ERPNext nå?"
Duplicate,Dupliser
Duration,Varighet
Edit,Rediger
"Enable ERPNext bridge","Aktiver ERPNext-bro"
"End time","Sluttid"
"Entries forwarded","Oppføringer videresendt"
"Entries older than {0} days are locked. Contact your administrator.","Oppføringer eldre enn {0} dager er låst. Kontakt din administrator."
"ERPNext Bridge","ERPNext-bro"
"ERPNext is not installed on this site.","ERPNext er ikke installert på dette nettstedet."
"ERPNext is reachable and Timesheet access is confirmed.","ERPNext er tilgjengelig og tilgang til timelister er bekreftet."
"ERPNext site URL","ERPNext nettsted-URL"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","ERPNext-timeliste {0} for {1} er innsendt — resynkronisering blokkert."
"ERPNext Timesheet is submitted — re-sync blocked","ERPNext-timeliste er innsendt — resynkronisering blokkert"
"Est. {0}","Ansl. {0}"
"Est. amount","Ansl. beløp"
"Every 6 hours","Hver 6. time"
"All time","All tid"
"This year","I år"
"Last year","I fjor"
"Download CSV","Last ned CSV"
"Export my data","Eksporter mine data"
"Download all your time entries as CSV.","Last ned alle tidsoppføringene dine som CSV."
"Export CSV","Eksporter CSV"
"Export successful","Eksport vellykket"
"Failed to forward entries: {0}","Kunne ikke videresende oppføringer: {0}"
"Watch Settings","Watch-innstillinger"
"Watch Tag","Watch-tagg"
"Watch Entry","Watch-oppføring"
"Watch Entry Tag","Watch-oppføringstagg"
"Watch Timer","Watch-timer"
"Forwarded {0} to {1}","Videresendt {0} til {1}"
From,Fra
General,Generelt
Hourly,Hver time
hours,timer
"Hide weekends","Skjul helger"
Internal,Intern
"Internal / overhead","Intern / overhead"
"Last bulk sync","Siste massesynkronisering"
"Last month","Forrige måned"
"Last sync error","Siste synkfeil"
"Last week","Forrige uke"
Less,Mindre
"Lock Entries Older Than","Lås oppføringer eldre enn"
Manual,Manuell
"Map project tags","Koble prosjekttagger"
Merge,Slå sammen
"Merge {0} into:","Slå sammen {0} med:"
Mon,Man
More,Mer
Navigate,Naviger
"New Tag","Ny tagg"
"No entries for {0}","Ingen oppføringer for {0}"
"No entries yet","Ingen oppføringer ennå"
"No tags yet","Ingen tagger ennå"
"No timer is running","Ingen timer kjører"
Non-billable,Ikke-debiterbar
"(no description)","(ingen beskrivelse)"
"(not billed)","(ikke registrert)"
"Nothing logged yesterday ({0})","Ingenting logget i går ({0})"
"Open prepare summary","Åpne forberedelsessammendrag"
"Open settings","Åpne innstillinger"
"Open tag management","Åpne tagghåndtering"
"Open today's view","Åpne dagens visning"
"Open weekly view","Åpne ukevisning"
Other,Annet
Pause,Pause
Prepare,Forbered
"Prepare Summary","Forberedelsessammendrag"
Project,Prosjekt
Rate,Timepris
Rename,Gi nytt navn
Resume,Gjenoppta
"Saved — {0}","Lagret — {0}"
Save,Lagre
Sat,Lør
Scheduled,Planlagt
Send,Send
Settings,Innstillinger
"Show weekends","Vis helger"
"Start time","Starttid"
"Start Timer","Start timer"
"Start timer: ""{0}""","Start timer: ""{0}"""
"Stop current & start: ""{0}""","Stopp pågående og start: ""{0}"""
"Started yesterday","Startet i går"
