source,translation
Billed as {0},Rozliczono jako {0}
exact — rounding skipped,dokładnie — zaokrąglanie pominięte
Use exact,Użyj dokładnej wartości
Apply rounding,Zastosuj zaokrąglanie
Exact,Dokładnie
Billed,Rozliczono
* Rounded up to nearest increment,* Zaokrąglono w górę do najbliższej jednostki
billable,płatne
non-billable,niepłatne
internal,wewnętrzne
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,zatrzymany
running,aktywny
paused,wstrzymany
Add a note...,Dodaj notatkę…
Add entry for yesterday,Dodaj wpis za wczoraj
Add your first entry,Dodaj swój pierwszy wpis
Archive,Archiwizuj
Auto-stop Timer After,Automatycznie zatrzymaj stoper po
Billable,Płatne
Billable {0},Płatne {0}
Cancel,Anuluj
Cannot delete tag — {0} entries use it.,Nie można usunąć tagu — {0} wpisów go używa.
Category,Kategoria
Client,Klient
Color,Kolor
Connection Failed,Połączenie nieudane
Connection OK,Połączenie OK
Custom…,Niestandardowy…
Daily,Dziennie
Daily view,Widok dzienny
Date range,Okres
days,dni
Default Entry Type,Domyślny typ wpisu
Default Rate,Domyślna stawka
Default activity type,Domyślny typ aktywności
Delete,Usuń
Description,Opis
Dismiss,Zamknij
Do you want to sync all unsynced time entries to ERPNext now?,Czy chcesz teraz zsynchronizować wszystkie niezsynchronizowane wpisy czasu z ERPNext?
Duplicate,Duplikuj
Duration,Czas trwania
Edit,Edytuj
Enable ERPNext bridge,Włącz most ERPNext
End time,Czas zakończenia
Entries forwarded,Wpisy przekazane
Entries older than {0} days are locked. Contact your administrator.,Wpisy starsze niż {0} dni są zablokowane. Skontaktuj się z administratorem.
ERPNext Bridge,Most ERPNext
ERPNext is not installed on this site.,ERPNext nie jest zainstalowany na tej stronie.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext jest dostępny i dostęp do kart czasu pracy jest potwierdzony.
ERPNext site URL,URL strony ERPNext
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,Karta czasu pracy ERPNext {0} dla {1} jest zatwierdzona — ponowna synchronizacja zablokowana.
ERPNext Timesheet is submitted — re-sync blocked,Karta czasu pracy ERPNext jest zatwierdzona — ponowna synchronizacja zablokowana
Est. {0},Sza. {0}
Est. amount,Kwota sza.
Every 6 hours,Co 6 godzin
All time,Cały okres
This year,Ten rok
Last year,Ubiegły rok
Download CSV,Pobierz CSV
Export my data,Eksportuj moje dane
Download all your time entries as CSV.,Pobierz wszystkie swoje wpisy czasu jako CSV.
Export CSV,Eksportuj CSV
Export successful,Eksport zakończony
Failed to forward entries: {0},Nie udało się przekazać wpisów: {0}
Watch Settings,Ustawienia Watch
Watch Tag,Tag Watch
Watch Entry,Wpis Watch
Watch Entry Tag,Tag wpisu Watch
Watch Timer,Stoper Watch
Forwarded {0} to {1},{0} przekazano do {1}
From,Od
General,Ogólne
Hourly,Co godzinę
hours,godzin
Hide weekends,Ukryj weekendy
Internal,Wewnętrzne
Internal / overhead,Wewnętrzne / koszty ogólne
Last bulk sync,Ostatnia synchronizacja masowa
Last month,Ubiegły miesiąc
Last sync error,Ostatni błąd synchronizacji
Last week,Ubiegły tydzień
Less,Mniej
Lock Entries Older Than,Zablokuj wpisy starsze niż
Manual,Ręczny
Map project tags,Przypisz tagi projektu
Merge,Połącz
Merge {0} into:,Połącz {0} z:
Mon,Pon
More,Więcej
Navigate,Nawiguj
New Tag,Nowy tag
No entries for {0},Brak wpisów dla {0}
No entries yet,Brak wpisów
No tags yet,Brak tagów
No timer is running,Żaden stoper nie jest aktywny
Non-billable,Niepłatne
(no description),(brak opisu)
(not billed),(nierozliczone)
