source,translation
Billed as {0},Zaračunano kot {0}
exact — rounding skipped,natančno — zaokroževanje preskočeno
Use exact,Uporabi natančno
Apply rounding,Uporabi zaokroževanje
Exact,Natančno
Billed,Zaračunano
* Rounded up to nearest increment,* Zaokroženo navzgor na najbližji inkrement
billable,zaračunljivo
non-billable,nezaračunljivo
internal,interno
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,ustavljeno
running,teče
paused,začasno ustavljeno
Add a note...,Dodaj opombo...
Add entry for yesterday,Dodaj vnos za včeraj
Add your first entry,Dodaj svoj prvi vnos
Archive,Arhiviraj
Auto-stop Timer After,Samodejno ustavi merilnik po
Billable,Zaračunljivo
Billable {0},Zaračunljivo {0}
Cancel,Prekliči
Cannot delete tag — {0} entries use it.,Ni mogoče izbrisati oznake — {0} vnosov jo uporablja.
Category,Kategorija
Client,Stranka
Color,Barva
Connection Failed,Povezava ni uspela
Connection OK,Povezava uspešna
Custom…,Po meri…
Daily,Dnevno
Daily view,Dnevni pogled
Date range,Časovno obdobje
days,dni
Default Entry Type,Privzeta vrsta vnosa
Default Rate,Privzeta urna postavka
Default activity type,Privzeta vrsta dejavnosti
Delete,Izbriši
Description,Opis
Dismiss,Opusti
Do you want to sync all unsynced time entries to ERPNext now?,Ali želite zdaj sinhronizirati vse nesinhronizirane časovne vnose v ERPNext?
Duplicate,Podvoji
Duration,Trajanje
Edit,Uredi
Enable ERPNext bridge,Omogoči ERPNext most
End time,Čas konca
Entries forwarded,Vnosi posredovani
Entries older than {0} days are locked. Contact your administrator.,Vnosi starejši od {0} dni so zaklenjeni. Obrnite se na skrbnika.
ERPNext Bridge,ERPNext most
ERPNext is not installed on this site.,ERPNext ni nameščen na tem mestu.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext je dosegljiv in dostop do časovnih listov je potrjen.
ERPNext site URL,ERPNext URL mesta
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext časovni list {0} za {1} je oddan — ponovna sinhronizacija blokirana.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext časovni list je oddan — ponovna sinhronizacija blokirana
Est. {0},Oc. {0}
Est. amount,Oc. znesek
Every 6 hours,Vsakih 6 ur
All time,Ves čas
This year,Letos
Last year,Lani
Download CSV,Prenesi CSV
Export my data,Izvozi moje podatke
Download all your time entries as CSV.,Prenesite vse svoje časovne vnose kot CSV.
Export CSV,Izvozi CSV
Export successful,Izvoz uspešen
Failed to forward entries: {0},Posredovanje vnosov ni uspelo: {0}
Watch Settings,Watch nastavitve
Watch Tag,Watch oznaka
Watch Entry,Watch vnos
Watch Entry Tag,Watch oznaka vnosa
Watch Timer,Watch merilnik
Forwarded {0} to {1},Posredovano {0} v {1}
From,Od
General,Splošno
Hourly,Vsako uro
hours,ur
Hide weekends,Skrij vikende
Internal,Interno
Internal / overhead,Interno / režijsko
Last bulk sync,Zadnja skupinska sinhronizacija
Last month,Prejšnji mesec
Last sync error,Zadnja napaka sinhronizacije
Last week,Prejšnji teden
Less,Manj
Lock Entries Older Than,Zakleni vnose starejše od
Manual,Ročno
Map project tags,Preslikaj oznake projekta
Merge,Združi
Merge {0} into:,Združi {0} v:
Mon,Pon
More,Več
Navigate,Navigiraj
New Tag,Nova oznaka
No entries for {0},Ni vnosov za {0}
No entries yet,Še ni vnosov
No tags yet,Še ni oznak
No timer is running,Noben merilnik ne teče
Non-billable,Nezaračunljivo
(no description),(brez opisa)
(not billed),(ni zaračunano)
Nothing logged yesterday ({0}),Včeraj ni bilo zabeleženo nič ({0})
Open prepare summary,Odpri povzetek priprave
Open settings,Odpri nastavitve
Open tag management,Odpri upravljanje oznak
Open today's view,Odpri današnji pogled
Open weekly view,Odpri tedenski pogled
Other,Drugo
Pause,Začasno ustavi
Prepare,Pripravi
Prepare Summary,Povzetek priprave
Project,Projekt
Rate,Urna postavka
Rename,Preimenuj
Resume,Nadaljuj
Saved — {0},Shranjeno — {0}
Save,Shrani
Sat,Sob
Scheduled,Načrtovano
Send,Pošlji
Settings,Nastavitve
Show weekends,Prikaži vikende
Start time,Čas začetka
Start Timer,Zaženi merilnik
"Start timer: ""{0}""","Zaženi merilnik: ""{0}"""
"Stop current & start: ""{0}""","Ustavi trenutnega in zaženi: ""{0}"""
Started yesterday,Začeto včeraj
Sun,Ned
Sync all unsynced entries,Sinhroniziraj vse nesinhronizirane vnose
Sync billable entries only,Sinhroniziraj samo zaračunljive vnose
Sync completed with errors,Sinhronizacija končana z napakami
Sync complete,Sinhronizacija končana
Sync interval,Interval sinhronizacije
