source,translation
Billed as {0},Обрачунато као {0}
exact — rounding skipped,тачно — заокруживање прескочено
Use exact,Користи тачно
Apply rounding,Примени заокруживање
Exact,Тачно
Billed,Обрачунато
* Rounded up to nearest increment,* Заокружено на најближи инкремент
billable,наплативо
non-billable,ненаплативо
internal,интерно
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,заустављено
running,у току
paused,паузирано
Add a note...,Додај белешку...
Add entry for yesterday,Додај унос за јуче
Add your first entry,Додај свој први унос
Archive,Архивирај
Auto-stop Timer After,Аутоматско заустављање мерача после
Billable,Наплативо
Billable {0},Наплативо {0}
Cancel,Откажи
Cannot delete tag — {0} entries use it.,Ознака се не може обрисати — {0} уноса је користи.
Category,Категорија
Client,Клијент
Color,Боја
Connection Failed,Повезивање неуспешно
Connection OK,Повезивање успешно
Custom…,Прилагођено…
Daily,Дневно
Daily view,Дневни приказ
Date range,Распон датума
days,дана
Default Entry Type,Подразумевана врста уноса
Default Rate,Подразумевана сатница
Default activity type,Подразумевана врста активности
Delete,Обриши
Description,Опис
Dismiss,Одбаци
Do you want to sync all unsynced time entries to ERPNext now?,Да ли желите да сада синхронизујете све несинхронизоване временске уносе у ERPNext?
Duplicate,Дуплирај
Duration,Трајање
Edit,Измени
Enable ERPNext bridge,Омогући ERPNext мост
End time,Време завршетка
Entries forwarded,Уноси прослеђени
Entries older than {0} days are locked. Contact your administrator.,Уноси старији од {0} дана су закључани. Обратите се администратору.
ERPNext Bridge,ERPNext мост
ERPNext is not installed on this site.,ERPNext није инсталиран на овом сајту.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext је доступан и приступ временским листовима је потврђен.
ERPNext site URL,ERPNext URL сајта
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext временски лист {0} за {1} је поднет — поновна синхронизација блокирана.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext временски лист је поднет — поновна синхронизација блокирана
Est. {0},Проц. {0}
Est. amount,Проц. износ
Every 6 hours,Сваких 6 сати
All time,Све време
This year,Ова година
Last year,Прошла година
Download CSV,Преузми CSV
Export my data,Извези моје податке
Download all your time entries as CSV.,Преузмите све своје временске уносе као CSV.
Export CSV,Извези CSV
Export successful,Извоз успешан
Failed to forward entries: {0},Прослеђивање уноса није успело: {0}
Watch Settings,Watch подешавања
Watch Tag,Watch ознака
Watch Entry,Watch унос
Watch Entry Tag,Watch ознака уноса
Watch Timer,Watch мерач
