source,translation
"Billed as {0}","Imetozwa kama {0}"
"exact — rounding skipped","halisi — kuzungusha kurukwa"
"Use exact","Tumia halisi"
"Apply rounding","Tumia kuzungusha"
Exact,Halisi
Billed,Imetozwa
"* Rounded up to nearest increment","* Imezungushwa hadi kiwango cha karibu"
billable,inayotozwa
non-billable,haiatoswi
internal,ya ndani
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,imesimama
running,inafanya kazi
paused,imesitishwa
"Add a note...","Ongeza maelezo..."
"Add entry for yesterday","Ongeza ingizo la jana"
"Add your first entry","Ongeza ingizo lako la kwanza"
Archive,Hifadhi
"Auto-stop Timer After","Simamisha Kipima Muda Kiotomatiki Baada ya"
Billable,Inayotozwa
"Billable {0}","Inayotozwa {0}"
Cancel,Ghairi
"Cannot delete tag — {0} entries use it.","Haiwezi kufuta lebo — maingizo {0} yanaitumia."
Category,Kategoria
Client,Mteja
Color,Rangi
"Connection Failed","Muunganisho Umeshindikana"
"Connection OK","Muunganisho Umefanikiwa"
"Custom…","Maalum…"
Daily,Kila siku
"Daily view","Mtazamo wa kila siku"
"Date range","Kipindi cha tarehe"
days,siku
"Default Entry Type","Aina ya Ingizo Chaguo-msingi"
"Default Rate","Kiwango Chaguo-msingi"
"Default activity type","Aina ya shughuli chaguo-msingi"
Delete,Futa
Description,Maelezo
Dismiss,Ondoa
"Do you want to sync all unsynced time entries to ERPNext now?","Unataka kulandanisha maingizo yote ambayo hayajalandanishwa kwenda ERPNext sasa?"
Duplicate,Nakili
Duration,Muda
Edit,Hariri
"Enable ERPNext bridge","Wezesha daraja la ERPNext"
"End time","Muda wa mwisho"
"Entries forwarded","Maingizo yametumwa"
"Entries older than {0} days are locked. Contact your administrator.","Maingizo ya zaidi ya siku {0} yamefungwa. Wasiliana na msimamizi wako."
"ERPNext Bridge","Daraja la ERPNext"
"ERPNext is not installed on this site.","ERPNext haijasanikishwa kwenye tovuti hii."
"ERPNext is reachable and Timesheet access is confirmed.","ERPNext inapatikana na ufikiaji wa Timesheet umethibitishwa."
"ERPNext site URL","URL ya tovuti ya ERPNext"
"ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.","Timesheet ya ERPNext {0} kwa {1} imetumwa — kulandanisha tena kumezuiwa."
"ERPNext Timesheet is submitted — re-sync blocked","Timesheet ya ERPNext imetumwa — kulandanisha tena kumezuiwa"
"Est. {0}","Makad. {0}"
"Est. amount","Makad. kiasi"
"Every 6 hours","Kila masaa 6"
"All time","Wakati wote"
"This year","Mwaka huu"
"Last year","Mwaka uliopita"
"Download CSV","Pakua CSV"
"Export my data","Hamisha data yangu"
"Download all your time entries as CSV.","Pakua maingizo yako yote ya muda kama CSV."
"Export CSV","Hamisha CSV"
"Export successful","Uhamishaji umefanikiwa"
"Failed to forward entries: {0}","Imeshindikana kutuma maingizo: {0}"
"Watch Settings","Mipangilio ya Watch"
"Watch Tag","Lebo ya Watch"
"Watch Entry","Ingizo la Watch"
"Watch Entry Tag","Lebo ya Ingizo la Watch"
"Watch Timer","Kipima Muda cha Watch"
"Forwarded {0} to {1}","{0} imetumwa kwa {1}"
From,Kutoka
General,Jumla
Hourly,Kila saa
hours,masaa
"Hide weekends","Ficha wikendi"
Internal,Ya ndani
"Internal / overhead","Ya ndani / gharama za kawaida"
"Last bulk sync","Ulandanishaji wa wingi wa mwisho"
"Last month","Mwezi uliopita"
"Last sync error","Hitilafu ya mwisho ya ulandanishaji"
"Last week","Wiki iliyopita"
Less,Punguza
"Lock Entries Older Than","Funga Maingizo ya Zamani Zaidi ya"
Manual,Mwongozo
"Map project tags","Unganisha lebo za mradi"
Merge,Unganisha
"Merge {0} into:","Unganisha {0} ndani ya:"
Mon,Jtt
More,Zaidi
Navigate,Elekeza
"New Tag","Lebo Mpya"
"No entries for {0}","Hakuna maingizo kwa {0}"
"No entries yet","Bado hakuna maingizo"
"No tags yet","Bado hakuna lebo"
"No timer is running","Hakuna kipima muda kinachofanya kazi"
Non-billable,Haiatoswi
"(no description)","(hakuna maelezo)"
"(not billed)","(haijatozwa)"
"Nothing logged yesterday ({0})","Hakuna kilichorekodiwa jana ({0})"
"Open prepare summary","Fungua muhtasari wa maandalizi"
"Open settings","Fungua mipangilio"
"Open tag management","Fungua usimamizi wa lebo"
"Open today's view","Fungua mtazamo wa leo"
"Open weekly view","Fungua mtazamo wa wiki"
Other,Nyingine
Pause,Sitisha
Prepare,Maandalizi
"Prepare Summary","Muhtasari wa Maandalizi"
Project,Mradi
Rate,Kiwango
Rename,Badilisha jina
Resume,Endelea
"Saved — {0}","Imehifadhiwa — {0}"
Save,Hifadhi
Sat,Jmt
Scheduled,Imeratibiwa
Send,Tuma
Settings,Mipangilio
"Show weekends","Onyesha wikendi"
"Start time","Muda wa kuanza"
