source,translation
Billed as {0},{0} என பில் செய்யப்பட்டது
exact — rounding skipped,சரியான — ரவுண்டிங் தவிர்க்கப்பட்டது
Use exact,சரியானதைப் பயன்படுத்து
Apply rounding,ரவுண்டிங் பயன்படுத்து
Exact,சரியான
Billed,பில் செய்யப்பட்டது
* Rounded up to nearest increment,* அருகிலுள்ள அதிகரிப்புக்கு ரவுண்ட் அப்
billable,பில் செய்யக்கூடிய
non-billable,பில் செய்ய முடியாத
internal,உள்ளக
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,நிறுத்தப்பட்டது
running,இயங்குகிறது
paused,இடைநிறுத்தம்
Add a note...,குறிப்பு சேர்க்கவும்...
Add entry for yesterday,நேற்றுக்கான பதிவை சேர்க்கவும்
Add your first entry,உங்கள் முதல் பதிவை சேர்க்கவும்
Archive,காப்பகம்
Auto-stop Timer After,இவ்வளவு நேரத்திற்குப் பிறகு டைமர் தானாக நிறுத்து
Billable,பில் செய்யக்கூடிய
Billable {0},பில் செய்யக்கூடிய {0}
Cancel,ரத்து செய்
Cannot delete tag — {0} entries use it.,குறிச்சொல்லை நீக்க முடியாது — {0} பதிவுகள் இதைப் பயன்படுத்துகின்றன.
Category,வகை
Client,வாடிக்கையாளர்
Color,நிறம்
Connection Failed,இணைப்பு தோல்வி
Connection OK,இணைப்பு சரி
Custom…,தனிப்பயன்…
Daily,தினசரி
Daily view,தினசரி காட்சி
Date range,தேதி வரம்பு
days,நாட்கள்
Default Entry Type,இயல்புநிலை பதிவு வகை
Default Rate,இயல்புநிலை ரேட்
Default activity type,இயல்புநிலை செயல்பாட்டு வகை
Delete,நீக்கு
Description,விளக்கம்
Dismiss,நிராகரி
Do you want to sync all unsynced time entries to ERPNext now?,ஒத்திசைக்கப்படாத அனைத்து நேரப் பதிவுகளையும் இப்போது ERPNext-க்கு ஒத்திசைக்க விரும்புகிறீர்களா?
Duplicate,நகல்
Duration,கால அளவு
Edit,திருத்து
Enable ERPNext bridge,ERPNext பிரிட்ஜை இயக்கு
End time,முடிவு நேரம்
Entries forwarded,பதிவுகள் அனுப்பப்பட்டன
Entries older than {0} days are locked. Contact your administrator.,{0} நாட்களுக்கு மேற்பட்ட பதிவுகள் பூட்டப்பட்டுள்ளன. உங்கள் நிர்வாகியைத் தொடர்பு கொள்ளுங்கள்.
ERPNext Bridge,ERPNext பிரிட்ஜ்
ERPNext is not installed on this site.,இந்த தளத்தில் ERPNext நிறுவப்படவில்லை.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext கிடைக்கிறது மற்றும் டைம்ஷீட் அணுகல் உறுதிசெய்யப்பட்டது.
ERPNext site URL,ERPNext தள URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext டைம்ஷீட் {0} ({1} க்கு) சமர்ப்பிக்கப்பட்டது — மீண்டும் ஒத்திசைவு தடுக்கப்பட்டது.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext டைம்ஷீட் சமர்ப்பிக்கப்பட்டது — மீண்டும் ஒத்திசைவு தடுக்கப்பட்டது
Est. {0},மதிப். {0}
Est. amount,மதிப். தொகை
Every 6 hours,ஒவ்வொரு 6 மணி நேரத்திற்கும்
All time,அனைத்து நேரமும்
This year,இந்த ஆண்டு
Last year,கடந்த ஆண்டு
Download CSV,CSV பதிவிறக்கு
Export my data,எனது தரவை ஏற்றுமதி செய்
Download all your time entries as CSV.,உங்கள் அனைத்து நேரப் பதிவுகளையும் CSV ஆகப் பதிவிறக்கவும்.
Export CSV,CSV ஏற்றுமதி
Export successful,ஏற்றுமதி வெற்றிகரம்
Failed to forward entries: {0},பதிவுகளை அனுப்புவதில் தோல்வி: {0}
Watch Settings,Watch அமைப்புகள்
Watch Tag,Watch குறிச்சொல்
Watch Entry,Watch பதிவு
Watch Entry Tag,Watch பதிவு குறிச்சொல்
Watch Timer,Watch டைமர்
Forwarded {0} to {1},{0} ஐ {1} க்கு அனுப்பியது
From,இலிருந்து
General,பொது
Hourly,மணி நேரத்திற்கு
hours,மணி நேரம்
Hide weekends,வார இறுதிகளை மறை
Internal,உள்ளக
Internal / overhead,உள்ளக / மேல்நிலை
Last bulk sync,கடைசி மொத்த ஒத்திசைவு
Last month,கடந்த மாதம்
Last sync error,கடைசி ஒத்திசைவு பிழை
Last week,கடந்த வாரம்
Less,குறைவு
Lock Entries Older Than,இதை விட பழைய பதிவுகளைப் பூட்டு
Manual,கைமுறை
