source,translation
Billed as {0},{0} గా బిల్ చేయబడింది
exact — rounding skipped,ఖచ్చితం — రౌండింగ్ దాటవేయబడింది
Use exact,ఖచ్చితం వాడండి
Apply rounding,రౌండింగ్ అమలు చేయండి
Exact,ఖచ్చితం
Billed,బిల్ చేయబడింది
* Rounded up to nearest increment,* సమీప పెరుగుదలకు రౌండ్ అప్
billable,బిల్ చేయగల
non-billable,బిల్ చేయలేని
internal,అంతర్గత
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,ఆపబడింది
running,నడుస్తోంది
paused,పాజ్ చేయబడింది
Add a note...,గమనిక జోడించండి...
Add entry for yesterday,నిన్నటి కోసం ఎంట్రీ జోడించండి
Add your first entry,మీ మొదటి ఎంట్రీ జోడించండి
Archive,ఆర్కైవ్
Auto-stop Timer After,ఈ సమయం తర్వాత టైమర్ ఆటో-ఆపు
Billable,బిల్ చేయగల
Billable {0},బిల్ చేయగల {0}
Cancel,రద్దు చేయండి
Cannot delete tag — {0} entries use it.,ట్యాగ్ తొలగించలేరు — {0} ఎంట్రీలు దీన్ని వాడుతున్నాయి.
Category,వర్గం
Client,క్లయింట్
Color,రంగు
Connection Failed,కనెక్షన్ విఫలం
Connection OK,కనెక్షన్ సరి
Custom…,అనుకూల…
Daily,రోజువారీ
Daily view,రోజువారీ వీక్షణ
Date range,తేదీ పరిధి
days,రోజులు
Default Entry Type,డిఫాల్ట్ ఎంట్రీ రకం
Default Rate,డిఫాల్ట్ రేట్
Default activity type,డిఫాల్ట్ కార్యాచరణ రకం
Delete,తొలగించండి
Description,వివరణ
Dismiss,తీసివేయండి
Do you want to sync all unsynced time entries to ERPNext now?,సింక్ చేయని టైమ్ ఎంట్రీలన్నింటినీ ఇప్పుడు ERPNext కు సింక్ చేయాలనుకుంటున్నారా?
Duplicate,నకలు
Duration,వ్యవధి
Edit,సవరించండి
Enable ERPNext bridge,ERPNext బ్రిడ్జ్ ప్రారంభించండి
End time,ముగింపు సమయం
Entries forwarded,ఎంట్రీలు ఫార్వర్డ్ చేయబడ్డాయి
Entries older than {0} days are locked. Contact your administrator.,{0} రోజులకన్నా పాత ఎంట్రీలు లాక్ చేయబడ్డాయి. మీ నిర్వాహకుడిని సంప్రదించండి.
ERPNext Bridge,ERPNext బ్రిడ్జ్
ERPNext is not installed on this site.,ఈ సైట్‌లో ERPNext ఇన్‌స్టాల్ చేయబడలేదు.
ERPNext is reachable and Timesheet access is confirmed.,ERPNext అందుబాటులో ఉంది మరియు టైమ్‌షీట్ యాక్సెస్ నిర్ధారించబడింది.
ERPNext site URL,ERPNext సైట్ URL
ERPNext Timesheet {0} for {1} is submitted — re-sync blocked.,ERPNext టైమ్‌షీట్ {0} ({1} కోసం) సమర్పించబడింది — మళ్ళీ సింక్ నిరోధించబడింది.
ERPNext Timesheet is submitted — re-sync blocked,ERPNext టైమ్‌షీట్ సమర్పించబడింది — మళ్ళీ సింక్ నిరోధించబడింది
Est. {0},అంచ. {0}
Est. amount,అంచ. మొత్తం
Every 6 hours,ప్రతి 6 గంటలకు
All time,అన్ని సమయం
This year,ఈ సంవత్సరం
Last year,గత సంవత్సరం
Download CSV,CSV డౌన్‌లోడ్ చేయండి
Export my data,నా డేటా ఎగుమతి చేయండి
Download all your time entries as CSV.,మీ అన్ని టైమ్ ఎంట్రీలను CSV గా డౌన్‌లోడ్ చేయండి.
Export CSV,CSV ఎగుమతి
Export successful,ఎగుమతి విజయవంతం
Failed to forward entries: {0},ఎంట్రీలను ఫార్వర్డ్ చేయడంలో విఫలం: {0}
Watch Settings,Watch సెట్టింగ్‌లు
Watch Tag,Watch ట్యాగ్
