source,translation
"Billed as {0}","เรียกเก็บเป็น {0}"
"exact — rounding skipped","แม่นยำ — ข้ามการปัดเศษ"
"Use exact","ใช้ค่าแม่นยำ"
"Apply rounding","ปัดเศษ"
Exact,แม่นยำ
Billed,เรียกเก็บแล้ว
"* Rounded up to nearest increment","* ปัดขึ้นเป็นหน่วยที่ใกล้ที่สุด"
billable,เรียกเก็บได้
non-billable,ไม่เรียกเก็บ
internal,ภายใน
on_save,on_save
manual,manual
scheduled,scheduled
hourly,hourly
every_6_hours,every_6_hours
daily,daily
stopped,หยุดแล้ว
running,กำลังทำงาน
paused,หยุดชั่วคราว
"Add a note...","เพิ่มบันทึก..."
"Add entry for yesterday","เพิ่มรายการสำหรับเมื่อวาน"
"Add your first entry","เพิ่มรายการแรกของคุณ"
Archive,เก็บถาวร
"Auto-stop Timer After","หยุดตัวจับเวลาอัตโนมัติหลัง"
Billable,เรียกเก็บได้
"Billable {0}","เรียกเก็บได้ {0}"
Cancel,ยกเลิก
"Cannot delete tag — {0} entries use it.","ลบแท็กไม่ได้ — มี {0} รายการใช้อยู่"
Category,หมวดหมู่
Client,ลูกค้า
Color,สี
"Connection Failed","เชื่อมต่อล้มเหลว"
"Connection OK","เชื่อมต่อสำเร็จ"
"Custom…","กำหนดเอง…"
Daily,รายวัน
"Daily view","มุมมองรายวัน"
"Date range","ช่วงวันที่"
days,วัน
"Default Entry Type","ประเภทรายการเริ่มต้น"
"Default Rate","อัตราเริ่มต้น"
"Default activity type","ประเภทกิจกรรมเริ่มต้น"
Delete,ลบ
Description,คำอธิบาย
Dismiss,ปิด
"Do you want to sync all unsynced time entries to ERPNext now?","คุณต้องการซิงค์รายการเวลาที่ยังไม่ได้ซิงค์ทั้งหมดไปยัง ERPNext ตอนนี้หรือไม่?"
Duplicate,ทำซ้ำ
Duration,ระยะเวลา
Edit,แก้ไข
"Enable ERPNext bridge","เปิดใช้สะพาน ERPNext"
"End time","เวลาสิ้นสุด"
"Entries forwarded","ส่งต่อรายการแล้ว"
"Entries older than {0} days are locked. Contact your administrator.","รายการที่เก่ากว่า {0} วันถูกล็อก กรุณาติดต่อผู้ดูแลระบบ"
"ERPNext Bridge","สะพาน ERPNext"
"ERPNext is not installed on this site.","ไม่ได้ติดตั้ง ERPNext บนเว็บไซต์นี้"
